kegg_id,metabolite,stage,median,q25,q75,n
C01015_Hydroxyproline,C01015,Healthy,0.23271390745568277,0.026645974410698492,0.4769890841634662,127
C01015_Hydroxyproline,C01015,Stage_0,0.1806214439492433,-0.12866351654996622,0.2760966865979332,27
C01015_Hydroxyproline,C01015,HS,0.11306237727050439,-0.014154635495317813,0.23418992061544003,30
C01015_Hydroxyproline,C01015,Stage_I_II,0.15335876967288042,-0.10855371359436106,0.40159543017647303,69
C01015_Hydroxyproline,C01015,Stage_III_IV,-0.020578521296911845,-0.22763607221146542,0.1852501434847213,54
C01015_Hydroxyproline,C01015,MP,0.09004347476620966,-0.15016671358315975,0.3259858802549908,40
C07151_Metformin,C07151,Healthy,-1.3622098104601232,-1.500017209496967,-1.1787651212914696,127
C07151_Metformin,C07151,Stage_0,-1.2062472781533997,-1.4445765132997557,-1.1449410877973922,27
C07151_Metformin,C07151,HS,-1.1643835620133225,-1.3001272496494551,-0.8166069825199048,30
C07151_Metformin,C07151,Stage_I_II,-1.3314213857522288,-1.5145490852131607,-1.0994832879934493,69
C07151_Metformin,C07151,Stage_III_IV,-1.2828108533468385,-1.460435548072812,-1.0854651865768963,54
C07151_Metformin,C07151,MP,-1.341467795529923,-1.458056753746256,-1.045098601469253,40
C00423_trans-Cinnamate,C00423,Healthy,0.8265015841992231,0.09456424203734926,1.1913495418030622,127
C00423_trans-Cinnamate,C00423,Stage_0,0.9948708505612924,0.655427322284719,1.2973641731775887,27
C00423_trans-Cinnamate,C00423,HS,1.222672069840987,1.0502583918262554,1.370012617172393,30
C00423_trans-Cinnamate,C00423,Stage_I_II,0.7670987712955208,-0.016341483198653695,1.1657911425824825,69
C00423_trans-Cinnamate,C00423,Stage_III_IV,0.5776651453633157,0.003606039584082621,1.143872349388612,54
C00423_trans-Cinnamate,C00423,MP,0.8060130632925957,-0.07119566881269057,1.1789103345500922,40
C00122_Fumarate,C00122,Healthy,-0.3573062568126082,-0.4959044557661706,-0.10271793279410046,127
C00122_Fumarate,C00122,Stage_0,-0.06972132779514317,-0.308807975630621,0.4891386731843511,27
C00122_Fumarate,C00122,HS,-0.1612697085744158,-0.3346003548710457,0.09106919260049923,30
C00122_Fumarate,C00122,Stage_I_II,-0.24640743756110095,-0.4743170501709555,0.17262607182404932,69
C00122_Fumarate,C00122,Stage_III_IV,-0.10412122426784998,-0.33811249678320204,0.34923374059404283,54
C00122_Fumarate,C00122,MP,-0.3820276341147838,-0.5029453248414597,-0.09535820938482464,40
