Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
C01606_Phthalate,-1.526253179188908,0.495941386735554,,584.0,0.00013287774629453734,-0.45925925925925926,0.013046771289631977,True
C00785_Urocanate,-0.03700414691638689,-2.1699577648946375,-5.873836199326468,1552.5,0.00024297787579134056,0.4375,0.013046771289631977,True
"C01026_N,N-Dimethylglycine",0.28311378357837147,-1.4363302149955437,,1555.5,0.00024930136222226705,0.44027777777777777,0.013046771289631977,True
C01035_gamma-Guanidinobutyrate,-0.8189652939730164,0.39404607183726903,,703.5,0.0038615148696340023,-0.3486111111111111,0.12125156690650768,False
C00127_Glutathione(ox),-3.3483776698786007,-5.280098006026137,-0.6571024469114314,1375.0,0.003289796513586581,0.27314814814814814,0.12125156690650768,False
C00086_Urea,2.67206646297255,1.2436322711157628,1.1033959338189403,1423.0,0.008725815440744114,0.31759259259259265,0.22832550403280433,False
C00366_Urate,0.07806999700597383,-2.421323876463566,,1370.0,0.020788373354083158,0.2685185185185186,0.23187461839093493,False
C00954_Indole-3-acetate,-2.3087994238833347,0.06514054397017126,,793.5,0.02363053435831184,-0.2652777777777777,0.23187461839093493,False
C02679_Dodecanoate,0.536359597754848,0.030187291789841454,4.15118732481716,1387.0,0.018422613154460758,0.2842592592592592,0.23187461839093493,False
C07044_Hydroxyurea,-3.5080807625389094,-5.022073763450715,-0.5176012571753043,1301.5,0.022757702138540226,0.2050925925925926,0.23187461839093493,False
C01736_Purine riboside,-4.066239853164835,-2.4663624817705667,0.7213104687213986,810.0,0.017531993865421192,-0.25,0.23187461839093493,False
gamma-Glu-2AB,-4.267139386534619,-5.63189943259601,-0.40035233528643854,1283.0,0.015138086700812216,0.1879629629629629,0.23187461839093493,False
C00122_Fumarate,-2.394463787881685,-4.225145421104185,-0.8192983794954258,1354.0,0.014152555949623297,0.25370370370370376,0.23187461839093493,False
C02504_2-Isopropylmalate,-3.0473123664397206,-1.2239858218886976,1.3159505453430724,777.0,0.01381750385253948,-0.28055555555555556,0.23187461839093493,False
C05629_3-Phenylpropionate,1.8065549836286598,0.5710307238407857,1.661600888774871,1411.0,0.011248595770977567,0.3064814814814816,0.23187461839093493,False
C00493_Shikimate,-1.411153202467257,-3.3293976268583263,-1.2383865572933073,1359.0,0.020164314681434942,0.2583333333333333,0.23187461839093493,False
C00255_Riboflavin,-2.7064431845609196,-0.9606472845556537,1.4943193753294388,811.0,0.029550807064555793,-0.24907407407407411,0.27291039465501526,False
C00314_Pyridoxine,-3.5633726624081503,-2.2727572420590003,0.6487997752948196,829.5,0.03370233799234343,-0.2319444444444444,0.278487740252522,False
C04501_N-Acetylglucosamine 1-phosphate,1.2395527729531688,-0.06659946937212069,,1359.0,0.03283753345973462,0.2583333333333333,0.278487740252522,False
C00077_Ornithine,2.837858097028889,2.6811894446871016,0.08192929196631951,1341.0,0.04636082315163691,0.2416666666666667,0.3281112823747027,False
C00242_Guanine,-1.5874865114619485,-0.3022340522750669,2.3930062129039458,829.5,0.05194158798789905,-0.2319444444444444,0.3281112823747027,False
C00417_cis-Aconitate,-4.199964254372246,-2.6075208631463402,0.6876982532791815,865.0,0.04497686156377225,-0.19907407407407407,0.3281112823747027,False
C02735_Phenylethanolamine,-3.473208609158532,-1.9410363247625526,0.8394419479915793,849.0,0.04871669867541625,-0.2138888888888889,0.3281112823747027,False
C02693_Indole-3-acetamide,-2.664684572038309,-0.699398039006894,1.9297791103415438,841.0,0.05224701948641763,-0.22129629629629632,0.3281112823747027,False
C02115_Alpha-Methylserine,-1.4590410828066132,0.4363027020757674,,824.5,0.04872727185891444,-0.23657407407407405,0.3281112823747027,False
C00093_Glycerophosphate,0.10450288471088477,-1.2106917112448135,,1324.5,0.05693443340993355,0.22638888888888897,0.33128467063118766,False
C01234_1-Aminocyclopropane-1-carboxylate,-4.96625894020696,-3.7587081056172167,0.40192260277124325,898.0,0.05697252297479023,-0.1685185185185185,0.33128467063118766,False
C01047_N-gamma-Ethylglutamine,-0.6520241496701983,-2.318311486369618,-1.830077113714627,1314.0,0.06672292923123102,0.21666666666666656,0.37412499604654537,False
C02710_N-Acetylleucine,-2.439163882780779,-3.630469717693373,-0.5737695258642236,1291.0,0.07185467240761884,0.19537037037037042,0.389006329930902,False
C01586_Hippurate,-4.223494286081752,-5.335406921073594,-0.3371612075654314,1219.5,0.08611560076415069,0.12916666666666665,0.4105052575752794,False
C01744_3-(4-Hydroxyphenyl)propionate,-0.5147079549748786,0.06761764817959337,,861.0,0.08620784989086598,-0.20277777777777772,0.4105052575752794,False
C02226_Citraconate,-3.1192855133034647,-1.4462521208949533,1.1088965360326044,868.5,0.08309348464442248,-0.1958333333333333,0.4105052575752794,False
C01996_Acetylcholine,-3.139284593752399,-2.3251212096021545,0.43312989674559194,867.0,0.08628454458588676,-0.1972222222222222,0.4105052575752794,False
C03592_5-Methyl-2'-deoxycytidine,-3.810457076655468,-2.68594737533502,0.5045330251425271,885.5,0.0898791333909716,-0.18009259259259258,0.41503011595242767,False
"C06057_3-Aminopropane-1,2-diol",-1.8857338997864306,-0.6251590605022133,1.5928308990896514,867.0,0.09664586658410809,-0.1972222222222222,0.4335257443915706,False
C01008_Trimethylsulfonium,-3.4859808594424098,-2.4483894506402004,0.5097315909233765,896.0,0.10866118654495276,-0.1703703703703704,0.4738835079877106,False
C00588_Phosphorylcholine,-0.6949964215596317,-1.3423920573602888,-0.949728630174399,1280.0,0.11804883445880537,0.18518518518518512,0.47522223102647293,False
