Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Caecibacter;s__Caecibacter sp003467125,-1.0896563431830173,-0.37720678718589734,1.5304456683313237,626.0,0.0005243449920010675,-0.4203703703703704,0.2621724960005337,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp003483745,-0.7718450235145042,-0.384979189614311,1.0035307404999103,667.0,0.0016079192492919239,-0.3824074074074074,0.40197981232298097,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900751995,-0.4294467843592003,-0.09321100254483154,2.2039072051022317,704.0,0.004085025841309622,-0.3481481481481481,0.5231195787124346,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535,-0.795344582656413,-0.36137769303322154,1.1380725880923812,705.0,0.0041849566296994775,-0.3472222222222222,0.5231195787124346,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp002474415,-0.710928562128266,-0.4047897093730489,0.8125319835528183,728.0,0.007188404838612745,-0.32592592592592595,0.7188404838612745,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp000435655,-0.6442626821838606,-0.3185403874182069,1.0161727298160654,743.0,0.010073972445431916,-0.312037037037037,0.7665010758287664,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena,1.0456659562139041,0.3718537633941537,1.4916147696917432,1408.0,0.012264017213260262,0.3037037037037038,0.7665010758287664,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Coproplasma;s__Coproplasma sp910583855,-1.060824703418371,-0.6926199332423421,0.6150504637971503,748.0,0.011243324806893308,-0.30740740740740746,0.7665010758287664,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter stercoravium,-0.7713150651368582,-0.38585334642042407,0.999267671746724,806.0,0.03648265985133804,-0.25370370370370365,0.8980403819635033,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii,-0.9587606226162312,-0.5552810846746332,0.7879524049912416,798.0,0.03134349798360187,-0.26111111111111107,0.8980403819635033,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii,-0.9429304722492104,-0.634527825631969,0.5714679653568291,799.0,0.03194987987975829,-0.2601851851851852,0.8980403819635033,False
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta,0.5035603366855531,0.0033721498120828476,7.222352168551634,1357.0,0.03447699202538864,0.25648148148148153,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625,0.2761528867267773,0.7638385128453637,-1.467800453842932,773.0,0.01908512499240612,-0.2842592592592592,0.8980403819635033,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella parvirubra,-0.8622135864982762,-0.7483024544017669,0.2044237891635641,802.0,0.03382971600510642,-0.2574074074074074,0.8980403819635033,False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345,-0.9864222245886486,-0.7828687210993888,0.33343490186814445,806.0,0.03648265985133804,-0.25370370370370365,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis,0.39908966133000195,1.1060041851031468,-1.470572033969414,788.0,0.025803512729521815,-0.27037037037037037,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis,0.37013007669009573,0.8529837095353681,-1.2044858151997266,796.0,0.03016030832272515,-0.26296296296296295,0.8980403819635033,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella multacida,-0.967191278794832,-0.43186894820721716,1.1632076468748342,799.0,0.03194987987975829,-0.2601851851851852,0.8980403819635033,False
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915,-0.6267836744710692,-0.3459879639359468,0.8572457523631253,808.0,0.03787431171483847,-0.2518518518518519,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp003470905,-0.23879852909976934,0.21156797887375695,,814.0,0.04232308346163914,-0.24629629629629635,0.8980403819635033,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000431015,-1.1503486574719208,-0.9395391104296038,0.2920460683452615,800.0,0.03256629054643468,-0.2592592592592593,0.8980403819635033,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini,-0.6990689813693317,-0.529292360273445,0.4013699916672708,811.0,0.04004631942893703,-0.24907407407407411,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,-0.7633387228189816,-0.2016186507466286,1.9206942774607485,779.0,0.021562874280367784,-0.2787037037037037,0.8980403819635033,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae_A,-0.007479876325986259,0.9602635662778123,,815.0,0.04310593833424816,-0.24537037037037035,0.8980403819635033,False
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5633;g__MWCK01;s__MWCK01 sp002070005,-1.0170553232281219,-0.7296979528280454,0.4790268461084335,819.0,0.04636082315163691,-0.2416666666666667,0.9219553947226679,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium saudiense,-0.7986337844414577,-0.4927615183912361,0.6966445084817445,825.0,0.0516295021044694,-0.23611111111111116,0.9219553947226679,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp000417505,-0.9452536261701829,-0.2778971780058955,1.7661502947250705,823.0,0.049820197713659184,-0.23796296296296293,0.9219553947226679,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis,0.21949358735915064,0.9645457859513964,-2.13567093142575,823.0,0.049820197713659184,-0.23796296296296293,0.9219553947226679,False
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A,-0.010468441943272155,0.32024010852623963,,838.0,0.06477661648152543,-0.2240740740740741,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis,-0.4031556277607037,-0.07635309928154929,2.40057823838027,836.0,0.0625902587726964,-0.22592592592592597,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900538485,-0.4164235893145584,-0.3586882905594634,0.21532114689616547,835.0,0.061520177727812105,-0.22685185185185186,0.9253802354503632,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475,-1.0370473000127152,-0.9107860020833698,0.18729767348516688,831.0,0.057390220800143804,-0.2305555555555555,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325,-0.3496237315133349,-0.21531946750843806,0.699324352011245,836.0,0.0625902587726964,-0.22592592592592597,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp001916855,0.45083484909527727,-0.21670045330855542,,1322.0,0.06477661648152543,0.2240740740740741,0.9253802354503632,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii,-0.8409257584456463,-0.5825889260477335,0.5295001583808171,831.0,0.057390220800143804,-0.2305555555555555,0.9253802354503632,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475,-0.5839021518828843,-0.5230637975561034,0.15873970676094634,845.0,0.07293035010116154,-0.21759259259259256,0.93500448847643,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella lascolaii,-0.2883888439467067,0.14643433535370726,,842.0,0.06933848775537028,-0.22037037037037033,0.93500448847643,False
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A sp000431435,-1.003009722425312,-0.8723435164699218,0.20136732565499812,843.0,0.07051927834000007,-0.21944444444444444,0.93500448847643,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436475,-0.2128208870373877,-0.11748739020584327,0.8571338276166142,844.0,0.07171651311446248,-0.21851851851851856,0.93500448847643,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900767585,-0.8342814798897976,-0.8637780385561813,-0.05012641712963956,1013.0,0.6110759495417315,-0.062037037037037,0.979955187238877,False
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900546645,-0.2872491061428277,-0.2571606152117479,0.1596326963341145,1019.0,0.6436116331548654,-0.056481481481481466,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A,-0.47089297097814425,-0.5248031008677515,-0.15637705668326773,1068.0,0.9299222199654255,-0.011111111111111072,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900754605,0.5682853411609184,0.5997797481512812,-0.07781730797387401,1062.0,0.8935402898587461,-0.01666666666666672,0.979955187238877,False
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrisoma;s__Ventrisoma faecale,-0.6017832257556945,-0.653957669032908,-0.11995335926359527,1145.0,0.6218403133185814,0.06018518518518512,0.979955187238877,False
