node,node_type,degree_raw,degree_cent,between_cent
C02678_Dodecanedioate,metabolite,105,0.3153153153153153,0.1005067577088986
C00134_Putrescine,metabolite,99,0.2972972972972973,0.08997593169590788
C08277_Sebacate,metabolite,104,0.3123123123123123,0.08594037770742691
C01042_N-Acetylaspartate,metabolite,35,0.10510510510510511,0.07603213859002105
C02714_N-Acetylputrescine,metabolite,98,0.29429429429429427,0.06881159415056369
C02656_Pimelate,metabolite,92,0.27627627627627627,0.06877008821879983
C00431_5-Aminovalerate,metabolite,84,0.25225225225225223,0.05301650316452346
C00398_Tryptamine,metabolite,47,0.14114114114114115,0.04968448515715458
CAG-170 sp000432135,species,35,0.10510510510510511,0.048925594502099747
Alistipes shahii,species,43,0.12912912912912913,0.046874827455814415
C00695_Cholate,metabolite,80,0.24024024024024024,0.04470004095222582
C05332_Phenethylamine,metabolite,57,0.17117117117117117,0.04257216277008477
C00423_trans-Cinnamate,metabolite,8,0.024024024024024024,0.04241488124667994
C01672_Cadaverine,metabolite,41,0.12312312312312312,0.038128416287719395
C05629_3-Phenylpropionate,metabolite,66,0.1981981981981982,0.0372359825654551
Alistipes onderdonkii,species,25,0.07507507507507508,0.03571426133337984
ER4 sp000765235,species,43,0.12912912912912913,0.035134501577990106
Erysipelatoclostridium ramosum,species,25,0.07507507507507508,0.030271152485907227
C00954_Indole-3-acetate,metabolite,13,0.03903903903903904,0.02782140626508284
Acetatifactor intestinalis,species,39,0.11711711711711711,0.026709538965556293
"C03283_2,4-Diaminobutyrate",metabolite,57,0.17117117117117117,0.02654747367426628
C05145_3-Aminoisobutyrate,metabolite,23,0.06906906906906907,0.026200526367940388
Acetatifactor sp003447295,species,39,0.11711711711711711,0.025973892138978827
Avispirillum faecium,species,30,0.09009009009009009,0.025614186859637008
ER4 sp900552015,species,39,0.11711711711711711,0.025233509711094164
C00803_Valerate,metabolite,48,0.14414414414414414,0.02516217432967318
UMGS693 sp900544555,species,23,0.06906906906906907,0.02493028978458976
C06104_Adipate,metabolite,49,0.14714714714714713,0.024242100902383188
Bifidobacterium pseudocatenulatum,species,3,0.009009009009009009,0.023879300987734723
UBA11540 sp003445125,species,16,0.04804804804804805,0.02303065579833237
UBA5905 sp900763035,species,34,0.1021021021021021,0.02243700532052938
Clostridium_A leptum,species,31,0.09309309309309309,0.022174004409462263
Ruminiclostridium_E siraeum,species,18,0.05405405405405406,0.020455901051845058
C00364_dTMP,metabolite,45,0.13513513513513514,0.020270871767474687
UMGS1322 sp905214315,species,13,0.03903903903903904,0.01924522200296278
C00408_Pipecolate,metabolite,33,0.0990990990990991,0.019193783807747666
Alistipes putredinis,species,33,0.0990990990990991,0.01905020720759253
C00388_Histamine,metabolite,6,0.018018018018018018,0.01849128424500182
"C00986_1,3-Diaminopropane",metabolite,5,0.015015015015015015,0.0179878905999549
Prevotella sp002439605,species,3,0.009009009009009009,0.017945528272853783
Phascolarctobacterium_A succinatutens,species,2,0.006006006006006006,0.017909475740801043
UMGS687 sp900545735,species,7,0.02102102102102102,0.01737375091843674
C06103_6-Hydroxyhexanoate,metabolite,46,0.13813813813813813,0.017316372718753546
Veillonella parvula_A,species,22,0.06606606606606606,0.016821419471905758
Aphodousia sp900553105,species,8,0.024024024024024024,0.016677424019312385
C00300_Creatine,metabolite,26,0.07807807807807808,0.016083856082251095
Faecousia sp003525905,species,31,0.09309309309309309,0.015839223006356293
UBA3855 sp017460955,species,18,0.05405405405405406,0.015363427269951229
Faecalibacterium sp900539945,species,19,0.057057057057057055,0.014961796822760944
C00785_Urocanate,metabolite,25,0.07507507507507508,0.014352810139573013
Faecousia sp000434635,species,28,0.08408408408408408,0.014191556418400423
C00055_CMP,metabolite,50,0.15015015015015015,0.014066152546037193
C00003_NAD+,metabolite,15,0.04504504504504504,0.013822749860074793
C05135_4-(beta-Acetylaminoethyl)imidazole,metabolite,14,0.04204204204204204,0.013761473755597494
Scatavimonas merdipullorum,species,27,0.08108108108108109,0.01318395977451961
C05127_1-Methylhistamine,metabolite,3,0.009009009009009009,0.01199392163247585
C05123_Isethionate,metabolite,3,0.009009009009009009,0.011993921632475847
2-Hydroxypentanoate,metabolite,26,0.07807807807807808,0.01181052880407165
C01046_N-Methylglutamate,metabolite,46,0.13813813813813813,0.011639431670716719
C17714_Heptanoate,metabolite,41,0.12312312312312312,0.011071776830826092
C00483_Tyramine,metabolite,25,0.07507507507507508,0.010610962677407965
CAG-103 sp900543625,species,25,0.07507507507507508,0.010365945521618741
Gemmiger qucibialis,species,21,0.06306306306306306,0.00994326897187985
C00847_4-Pyridoxate,metabolite,27,0.08108108108108109,0.009479027492604562
Faecivivens stercoravium,species,25,0.07507507507507508,0.009363767708527064
Lachnospira eligens,species,24,0.07207207207207207,0.009148762639687218
