species,genus,target,metabolite_name,gutsmash_class,shap_importance,pathway
Aphodousia sp900553105,Aphodousia,C00423_trans-Cinnamate,trans-Cinnamate,PhenylamineFerm,0.15989562161884763,Other
Scatavimonas merdipullorum,Scatavimonas,C00314_Pyridoxine,Pyridoxine,Vitamin_B6,0.08457711515047812,Other
Erysipelatoclostridium ramosum,Erysipelatoclostridium,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.056787958374947815,Other
Pauljensenia turicensis,Pauljensenia,C01104_Trimethylamine N-oxide,Trimethylamine N-oxide,TMAO_Choline,0.05567078964701949,Other
Meiothermus_B silvanus,Meiothermus,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.054885361296670473,Other
Pauljensenia turicensis,Pauljensenia,3-Indoxyl sulfate,3-Indoxyl sulfate,Indole,0.05320020151181086,Other
CCUG-7971 sp017590215,CCUG-7971,C00255_Riboflavin,Riboflavin,Vitamin_Riboflavin,0.04844407048874475,Other
Clostridium butyricum,Clostridium,C00255_Riboflavin,Riboflavin,Vitamin_Riboflavin,0.0471493062059194,Other
CAG-103 sp900757655,CAG-103,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.04659992243248097,Other
Leptotrichia wadei,Leptotrichia,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.04094218369381295,Other
Scatavimonas merdipullorum,Scatavimonas,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.03956310873556269,Other
Streptococcus parauberis,Streptococcus,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.03670436929120968,Other
UBA5905 sp900763035,UBA5905,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.03540987774976584,Other
Intestinibacter sp900540355,Intestinibacter,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.034508715175344894,Other
Aphodousia sp905212345,Aphodousia,C01551_Allantoin,Allantoin,Purine_Catabolism,0.02936887915387942,Other
Pauljensenia turicensis,Pauljensenia,C00191_Glucuronate,Glucuronate,GlucuronideBioT,0.028966734973743774,Other
UBA5905 sp900763035,UBA5905,C02714_N-Acetylputrescine,N-Acetylputrescine,Putrescine,0.028351045398479293,Other
Alangreenwoodia gallinarii,Alangreenwoodia,C02714_N-Acetylputrescine,N-Acetylputrescine,Putrescine,0.027742917505288133,Other
