Dataset,Comparison,Polyamine,Log2FC,QValue,Significant
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Putrescine,0.19289292444418585,0.30143526651280367,False
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Spermidine,0.2148642029296781,0.42085245147137373,False
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Spermine,-0.37935537946784603,0.30143526651280367,False
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Agmatine,0.29366185631855357,0.8318797898119349,False
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Cadaverine,0.18249352730262378,0.30143526651280367,False
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Ornithine,0.18551002187683405,0.16319335083069111,False
YACHIDA-CRC-2019,Healthy vs Stage_I_II,Arginine,0.035319139066929295,0.956849962463097,False
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Putrescine,0.00418188613071866,0.9987629352004996,False
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Spermidine,0.23045108289332,0.2510113828682772,False
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Spermine,-0.2482575417160626,0.13799462357429104,False
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Agmatine,0.43660705906568387,0.9473616732912606,False
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Cadaverine,0.1519170522477272,0.4458001783340532,False
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Ornithine,0.26125130353522097,0.014033040221180399,True
YACHIDA-CRC-2019,Healthy vs Stage_III_IV,Arginine,0.08719475824630543,0.6423729918201768,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Putrescine,0.16735064391019802,0.40286347828478536,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Spermidine,0.07868112310707442,0.7059207909320037,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Spermine,-0.14652027783665567,0.2483667450289057,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Agmatine,0.1210676293830963,0.8339755549298588,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Cadaverine,0.322493047414669,0.14780404954131363,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Ornithine,0.24302128688426938,0.16029138798138812,False
YACHIDA-CRC-2019,Healthy vs Stage_0,Arginine,-0.03593265758173817,0.7059207909320037,False
YACHIDA-CRC-2019,Healthy vs MP,Putrescine,-0.07775313043518685,0.8913612576832517,False
YACHIDA-CRC-2019,Healthy vs MP,Spermidine,0.09815447968682837,0.8890287113078285,False
YACHIDA-CRC-2019,Healthy vs MP,Spermine,-0.10010462644155872,0.8890287113078285,False
YACHIDA-CRC-2019,Healthy vs MP,Agmatine,-0.11048783724447715,0.8890287113078285,False
YACHIDA-CRC-2019,Healthy vs MP,Cadaverine,0.09367483338793937,0.8890287113078285,False
YACHIDA-CRC-2019,Healthy vs MP,Ornithine,0.004484195955580262,0.9664397418158654,False
YACHIDA-CRC-2019,Healthy vs MP,Arginine,0.002637786078755072,0.9664397418158654,False
YACHIDA-CRC-2019,Healthy vs HS,Putrescine,-0.44354646046163215,0.016077829004356888,True
YACHIDA-CRC-2019,Healthy vs HS,Spermidine,0.11367828493008318,0.48006481888429436,False
YACHIDA-CRC-2019,Healthy vs HS,Spermine,-0.1060133726168777,0.2521834258955511,False
YACHIDA-CRC-2019,Healthy vs HS,Agmatine,-1.852358396160351,0.36779397691524474,False
YACHIDA-CRC-2019,Healthy vs HS,Cadaverine,-0.15164934963667576,0.665455891015395,False
YACHIDA-CRC-2019,Healthy vs HS,Ornithine,-0.09339083307315321,0.6507232436887456,False
YACHIDA-CRC-2019,Healthy vs HS,Arginine,0.12409034744831962,0.05303832343249461,False
SINHA_CRC_2016,Healthy vs CRC,Putrescine,,0.9046702034349589,False
SINHA_CRC_2016,Healthy vs CRC,Cadaverine,0.5341517350401598,0.8678668813737636,False
SINHA_CRC_2016,Healthy vs CRC,Ornithine,-2.9208294068899683,0.901047292058062,False
SINHA_CRC_2016,Healthy vs CRC,Arginine,0.7390668157207054,0.901047292058062,False
