Species,Polyamine,E1_shap_stable,E2_spearman,E4_glasso,E5_mofa,E3_kegg,Evidence_score,Confidence
Faecalimonas phoceensis,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Lachnospira sp000436535,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Tidjanibacter inops_A,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Ventricola sp900542395,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Ruminococcus_B gnavus,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Anaerotignum faecicola,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Faecalibacterium sp900539945,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Fusobacterium_A necrogenes,C00077_Ornithine,False,False,False,False,False,0,Low (1)
CAG-177 sp003514385,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Acutalibacter stercoravium,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Ruminococcus_B sp900544395,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Dialister sp000434475,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Enterocloster citroniae,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Collinsella aerofaciens_M,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Faecalibacterium sp900539885,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Akkermansia muciniphila_B,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Blautia_A sp000436615,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Bacteroides faecis,C00077_Ornithine,False,False,False,False,False,0,Low (1)
CAG-177 sp003538135,C00077_Ornithine,False,False,False,False,False,0,Low (1)
CAG-41 sp900066215,C00077_Ornithine,False,False,False,False,False,0,Low (1)
Intestinimonas butyriciproducens,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Dysosmobacter sp014297375,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Acetatifactor sp003447295,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Anaeroglobus micronuciformis,C00134_Putrescine,False,False,False,False,False,0,Low (1)
CAG-83 sp000435975,C00134_Putrescine,False,False,False,False,False,0,Low (1)
CAG-83 sp001916855,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Alistipes communis,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Enterenecus sp900549885,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Lawsonibacter asaccharolyticus,C00134_Putrescine,False,False,False,False,False,0,Low (1)
UMGS856 sp900546265,C00134_Putrescine,False,False,False,False,False,0,Low (1)
CAG-170 sp000432135,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Acetatifactor intestinalis,C00134_Putrescine,False,False,False,False,False,0,Low (1)
ER4 sp003522105,C00134_Putrescine,False,False,False,False,False,0,Low (1)
CAG-170 sp900545925,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Allisonella histaminiformans,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Acetatifactor sp900772845,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Lawsonibacter sp900066645,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Clostridium_A leptum,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Dysosmobacter sp001916835,C00134_Putrescine,False,False,False,False,False,0,Low (1)
Acetatifactor sp900771995,C00134_Putrescine,False,False,False,False,False,0,Low (1)
