Species,Polyamine,E1_shap_stable,E2_spearman,E4_glasso,E5_mofa,E3_kegg,Evidence_score,Confidence,E6_mediation,E7_within_stage
Faecalimonas phoceensis,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Lachnospira sp000436535,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Tidjanibacter inops_A,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Ventricola sp900542395,C00077_Ornithine,True,True,False,False,False,2,Medium (2),False,False
Ruminococcus_B gnavus,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Anaerotignum faecicola,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Faecalibacterium sp900539945,C00077_Ornithine,True,True,False,False,False,2,Medium (2),False,False
Fusobacterium_A necrogenes,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-177 sp003514385,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Acutalibacter stercoravium,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Ruminococcus_B sp900544395,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Dialister sp000434475,C00077_Ornithine,False,True,False,False,True,2,Medium (2),False,False
Enterocloster citroniae,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Collinsella aerofaciens_M,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Faecalibacterium sp900539885,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Akkermansia muciniphila_B,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Blautia_A sp000436615,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Bacteroides faecis,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-177 sp003538135,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-41 sp900066215,C00077_Ornithine,False,True,False,False,False,1,Low-Medium (1),False,False
Intestinimonas butyriciproducens,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Dysosmobacter sp014297375,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Acetatifactor sp003447295,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Anaeroglobus micronuciformis,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-83 sp000435975,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-83 sp001916855,C00134_Putrescine,False,True,False,False,False,2,Medium (2),False,True
Alistipes communis,C00134_Putrescine,False,True,False,False,False,2,Medium (2),False,True
Enterenecus sp900549885,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Lawsonibacter asaccharolyticus,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
UMGS856 sp900546265,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-170 sp000432135,C00134_Putrescine,True,True,False,False,False,2,Medium (2),False,False
Acetatifactor intestinalis,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
ER4 sp003522105,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
CAG-170 sp900545925,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Allisonella histaminiformans,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Acetatifactor sp900772845,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Lawsonibacter sp900066645,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Clostridium_A leptum,C00134_Putrescine,True,True,False,False,True,3,Medium-High (3),False,False
Dysosmobacter sp001916835,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Acetatifactor sp900771995,C00134_Putrescine,False,True,False,False,False,1,Low-Medium (1),False,False
Akkermansia muciniphila,C00134_Putrescine,False,True,True,False,True,3,Medium-High (3),False,False
Escherichia coli,C00315_Spermidine,True,True,True,False,False,3,Medium-High (3),False,False
Akkermansia muciniphila,C00062_Arg,True,True,True,False,True,4,High (4+),False,False
Fusobacterium_A mortiferum,C00077_Ornithine,False,True,True,False,False,2,Medium (2),False,False
Ruminiclostridium_E siraeum,C00077_Ornithine,True,True,True,False,False,3,Medium-High (3),False,False
Barnesiella intestinihominis,C00134_Putrescine,True,True,True,False,False,3,Medium-High (3),False,False
Barnesiella intestinihominis,C00315_Spermidine,True,True,True,False,False,3,Medium-High (3),False,False
Faecousia sp003525905,C00134_Putrescine,True,True,True,False,False,3,Medium-High (3),False,False
Sutterella wadsworthensis_A,C00134_Putrescine,False,True,True,False,False,2,Medium (2),False,False
Phascolarctobacterium faecium,C00315_Spermidine,True,True,True,False,False,3,Medium-High (3),False,False
Akkermansia muciniphila,C00077_Ornithine,False,True,True,False,False,2,Medium (2),False,False
Faecimonas sp905209745,C01672_Cadaverine,True,True,True,False,False,3,Medium-High (3),False,False
Lachnospira sp000437735,C00315_Spermidine,True,True,True,False,True,4,High (4+),False,False
Fusobacterium_A mortiferum,C00378_Thiamine,True,False,True,False,False,2,Medium (2),False,False
Dialister invisus,C00134_Putrescine,False,True,True,False,True,3,Medium-High (3),False,False
Faecalibacillus intestinalis,C00315_Spermidine,False,True,True,False,False,2,Medium (2),False,False
Escherichia coli,C00077_Ornithine,False,True,True,False,False,2,Medium (2),False,False
Akkermansia muciniphila,C00315_Spermidine,False,True,True,False,False,2,Medium (2),False,False
