Species,Genus,Polyamine,KEGG_genus_known,ODC1,Spermidine_synthase,Agmatinase,Arg_deiminase,SAMdc,KO_support_count
Faecalimonas phoceensis,faecalimonas,Ornithine,False,False,False,False,False,False,0
Lachnospira sp000436535,lachnospira,Ornithine,False,False,False,False,False,False,0
Tidjanibacter inops_A,tidjanibacter,Ornithine,False,False,False,False,False,False,0
Ventricola sp900542395,ventricola,Ornithine,False,False,False,False,False,False,0
Ruminococcus_B gnavus,ruminococcus,Ornithine,False,False,False,False,False,False,0
Anaerotignum faecicola,anaerotignum,Ornithine,False,False,False,False,False,False,0
Faecalibacterium sp900539945,faecalibacterium,Ornithine,False,False,False,False,False,False,0
Fusobacterium_A necrogenes,fusobacterium,Ornithine,False,False,False,False,False,False,0
CAG-177 sp003514385,cag-177,Ornithine,False,False,False,False,False,False,0
Acutalibacter stercoravium,acutalibacter,Ornithine,False,False,False,False,False,False,0
Ruminococcus_B sp900544395,ruminococcus,Ornithine,False,False,False,False,False,False,0
Dialister sp000434475,dialister,Ornithine,False,False,False,False,False,False,0
Enterocloster citroniae,enterocloster,Ornithine,False,False,False,False,False,False,0
Collinsella aerofaciens_M,collinsella,Ornithine,False,False,False,False,False,False,0
Faecalibacterium sp900539885,faecalibacterium,Ornithine,False,False,False,False,False,False,0
Akkermansia muciniphila_B,akkermansia,Ornithine,False,False,False,False,False,False,0
Blautia_A sp000436615,blautia,Ornithine,False,False,False,False,False,False,0
Bacteroides faecis,bacteroides,Ornithine,False,False,False,False,False,False,0
CAG-177 sp003538135,cag-177,Ornithine,False,False,False,False,False,False,0
CAG-41 sp900066215,cag-41,Ornithine,False,False,False,False,False,False,0
Intestinimonas butyriciproducens,intestinimonas,Putrescine,False,False,False,False,False,False,0
Dysosmobacter sp014297375,dysosmobacter,Putrescine,False,False,False,False,False,False,0
Acetatifactor sp003447295,acetatifactor,Putrescine,False,False,False,False,False,False,0
Anaeroglobus micronuciformis,anaeroglobus,Putrescine,False,False,False,False,False,False,0
CAG-83 sp000435975,cag-83,Putrescine,False,False,False,False,False,False,0
CAG-83 sp001916855,cag-83,Putrescine,False,False,False,False,False,False,0
Alistipes communis,alistipes,Putrescine,False,False,False,False,False,False,0
Enterenecus sp900549885,enterenecus,Putrescine,False,False,False,False,False,False,0
Lawsonibacter asaccharolyticus,lawsonibacter,Putrescine,False,False,False,False,False,False,0
UMGS856 sp900546265,umgs856,Putrescine,False,False,False,False,False,False,0
CAG-170 sp000432135,cag-170,Putrescine,False,False,False,False,False,False,0
Acetatifactor intestinalis,acetatifactor,Putrescine,False,False,False,False,False,False,0
ER4 sp003522105,er4,Putrescine,False,False,False,False,False,False,0
CAG-170 sp900545925,cag-170,Putrescine,False,False,False,False,False,False,0
Allisonella histaminiformans,allisonella,Putrescine,False,False,False,False,False,False,0
Acetatifactor sp900772845,acetatifactor,Putrescine,False,False,False,False,False,False,0
Lawsonibacter sp900066645,lawsonibacter,Putrescine,False,False,False,False,False,False,0
Clostridium_A leptum,clostridium,Putrescine,False,False,False,False,False,False,0
Dysosmobacter sp001916835,dysosmobacter,Putrescine,False,False,False,False,False,False,0
Acetatifactor sp900771995,acetatifactor,Putrescine,False,False,False,False,False,False,0
