Species,Genus,Polyamine,KEGG_organisms_for_genus,Ornithine_biosyn_from_Glu,Agmatine_to_Putrescine,Putrescine_to_Spermidine_Spermine,Total_module_support
Faecalimonas phoceensis,faecalimonas,Ornithine,0,False,False,False,0
Lachnospira sp000436535,lachnospira,Ornithine,0,False,False,False,0
Tidjanibacter inops_A,tidjanibacter,Ornithine,0,False,False,False,0
Ventricola sp900542395,ventricola,Ornithine,0,False,False,False,0
Ruminococcus_B gnavus,ruminococcus,Ornithine,0,False,False,False,0
Anaerotignum faecicola,anaerotignum,Ornithine,0,False,False,False,0
Faecalibacterium sp900539945,faecalibacterium,Ornithine,0,False,False,False,0
Fusobacterium_A necrogenes,fusobacterium,Ornithine,0,False,False,False,0
CAG-177 sp003514385,cag-177,Ornithine,0,False,False,False,0
Acutalibacter stercoravium,acutalibacter,Ornithine,0,False,False,False,0
Intestinimonas butyriciproducens,intestinimonas,Putrescine,0,False,False,False,0
Dysosmobacter sp014297375,dysosmobacter,Putrescine,0,False,False,False,0
Acetatifactor sp003447295,acetatifactor,Putrescine,0,False,False,False,0
Anaeroglobus micronuciformis,anaeroglobus,Putrescine,0,False,False,False,0
CAG-83 sp000435975,cag-83,Putrescine,0,False,False,False,0
CAG-83 sp001916855,cag-83,Putrescine,0,False,False,False,0
Alistipes communis,alistipes,Putrescine,0,False,False,False,0
Enterenecus sp900549885,enterenecus,Putrescine,0,False,False,False,0
Lawsonibacter asaccharolyticus,lawsonibacter,Putrescine,0,False,False,False,0
UMGS856 sp900546265,umgs856,Putrescine,0,False,False,False,0
