Species,Polyamine,Rho_poly,Dicarb,Rho_dicarb,P_dicarb
Alistipes finegoldii,C00062_Arg,0.2641820601575247,C06103_6-Hydroxyhexanoate,0.2818248095081213,9.321011988859514e-08
Alistipes finegoldii,C00062_Arg,0.2641820601575247,C06104_Adipate,0.2708804973426678,2.993634236055e-07
Alistipes finegoldii,C00062_Arg,0.2641820601575247,C08277_Sebacate,0.35774237218410626,6.484015651642024e-12
Alistipes finegoldii,C00062_Arg,0.2641820601575247,C02656_Pimelate,0.20625071985198135,0.00010890235594274672
Alistipes senegalensis,C00750_Spermine,0.2969430917349377,C06103_6-Hydroxyhexanoate,0.38375076680576964,1.279848773676769e-13
Alistipes senegalensis,C00750_Spermine,0.2969430917349377,C06104_Adipate,0.40406556262114945,4.6358814655948355e-15
Alistipes senegalensis,C00750_Spermine,0.2969430917349377,C08277_Sebacate,0.5169476897704876,4.19106883106717e-25
Alistipes senegalensis,C00750_Spermine,0.2969430917349377,C02656_Pimelate,0.3831790572039511,1.4005322228393334e-13
Alistipes shahii,C00750_Spermine,0.2907221318671221,C06103_6-Hydroxyhexanoate,0.3537075484823891,1.1555080383742035e-11
Alistipes shahii,C00750_Spermine,0.2907221318671221,C06104_Adipate,0.32544978912714817,5.282866840622584e-10
Alistipes shahii,C00750_Spermine,0.2907221318671221,C08277_Sebacate,0.4426937887696795,4.3687600557863054e-18
Alistipes shahii,C00750_Spermine,0.2907221318671221,C02656_Pimelate,0.3229267640202859,7.295062377512768e-10
Allisonella histaminiformans,C01672_Cadaverine,0.4123701596814669,C06103_6-Hydroxyhexanoate,-0.23086527746707214,1.4000902704952305e-05
Allisonella histaminiformans,C01672_Cadaverine,0.4123701596814669,C08277_Sebacate,-0.2755694490143902,1.8272449202151125e-07
Allisonella histaminiformans,C01672_Cadaverine,0.4123701596814669,C02656_Pimelate,-0.23440587088186238,1.0224591377325459e-05
Bacteroides sp900552405,C00750_Spermine,0.2501933266361585,C06103_6-Hydroxyhexanoate,0.24627750217660416,3.437320204671288e-06
Bacteroides sp900552405,C00750_Spermine,0.2501933266361585,C06104_Adipate,0.2415589486712493,5.337102612008959e-06
