Species,Display_name,Mean_SHAP,Rank,CI_lower,CI_upper,Rank_stable,StabSel_freq,StabSel_stable
Faecalimonas phoceensis,Faecalimonas phoceensis,0.006901939509618968,1,1.0,16.0,False,1.0,True
Lachnospira sp000436535,Lachnospira sp000436535,0.006858549733611281,2,1.0,16.524999999999977,False,0.99,True
Tidjanibacter inops_A,Tidjanibacter inops A,0.004346420465789369,3,1.0,20.0,False,0.42,False
Ventricola sp900542395,Ventricola sp900542395,0.004062046813524986,4,1.0,20.0,False,0.28,False
Ruminococcus_B gnavus,Ruminococcus B gnavus,0.004050730042793771,5,2.0,20.0,False,0.99,True
Anaerotignum faecicola,Anaerotignum faecicola,0.004021200456301985,6,1.0,17.0,False,1.0,True
Faecalibacterium sp900539945,Faecalibacterium sp900539945,0.004012330481749084,7,1.0,19.0,False,0.95,True
Fusobacterium_A necrogenes,Fusobacterium A necrogenes,0.0038561916292082503,8,2.0,20.0,False,0.99,True
CAG-177 sp003514385,CAG-177 sp003514385,0.0037139836432585438,9,1.0,20.0,False,0.91,True
Acutalibacter stercoravium,Acutalibacter stercoravium,0.003327876140899953,10,1.0,20.0,False,0.56,False
Ruminococcus_B sp900544395,Ruminococcus B sp900544395,0.003138918965477406,11,2.0,20.0,False,0.9,True
Dialister sp000434475,Dialister sp000434475,0.00295657653816551,12,1.0,20.0,False,0.52,False
Enterocloster citroniae,Enterocloster citroniae,0.0029147027845962663,13,3.0,20.0,False,0.51,False
Collinsella aerofaciens_M,Collinsella aerofaciens M,0.0029086744362257287,14,1.0,20.0,False,0.41,False
Faecalibacterium sp900539885,Faecalibacterium sp900539885,0.0028495218443952658,15,2.0,20.0,False,0.87,True
Akkermansia muciniphila_B,Akkermansia muciniphila B,0.0028333658430969686,16,2.0,20.0,False,0.47,False
Blautia_A sp000436615,Blautia A sp000436615,0.0028248175505582365,17,3.0,20.0,False,0.41,False
Bacteroides faecis,Bacteroides faecis,0.0027306032042983862,18,2.0,20.0,False,0.36,False
CAG-177 sp003538135,CAG-177 sp003538135,0.0023815358274748358,19,1.0,20.0,False,0.89,True
CAG-41 sp900066215,CAG-41 sp900066215,0.0023603593011795685,20,3.0,20.0,False,0.89,True
