target,target_name,model,species,shap_importance,pathway
C08277_Sebacate,C08277,RF,UBA5905 sp900763035,0.2368870480747231,Other
C00423_trans-Cinnamate,C00423,RF,Aphodousia sp900553105,0.15989562161884763,Other
C01118_o-Succinylhomoserine,C01118,RF,UMGS687 sp900545735,0.14690586155524185,Other
C00245_Taurine,C00245,RF,Bilophila wadsworthia,0.11035088352838002,Other
C02378_6-Aminohexanoate,C02378,RF,UMGS693 sp900544555,0.10347314112740305,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,Acutalibacter sp910580045,0.0993570145331589,Other
C00314_Pyridoxine,C00314,RF,Scatavimonas merdipullorum,0.08457711515047812,Other
C00383_Malonate,C00383,RF,UMGS687 sp900545735,0.0802010282240822,Other
C00449_Saccharopine,C00449,RF,CAG-170 sp000432135,0.07769417007980496,Other
C00383_Malonate,C00383,RF,Aphodousia sp900553105,0.06400779090809117,Other
C00191_Glucuronate,C00191,LightGBM,Erysipelatoclostridium ramosum,0.056787958374947815,Other
C00449_Saccharopine,C00449,RF,CAG-83 sp000435555,0.05642074034228985,Other
C01104_Trimethylamine N-oxide,C01104,RF,Pauljensenia turicensis,0.05567078964701949,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Fusobacterium_A ulcerans_A,0.05520848760408665,Other
C00191_Glucuronate,C00191,LightGBM,Meiothermus_B silvanus,0.054885361296670473,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Pauljensenia turicensis,0.05320020151181086,Other
C01118_o-Succinylhomoserine,C01118,RF,Aphodousia sp900553105,0.050030790854676356,Other
C00255_Riboflavin,C00255,RF,CCUG-7971 sp017590215,0.04844407048874475,Other
C00255_Riboflavin,C00255,RF,Clostridium butyricum,0.0471493062059194,Other
C00191_Glucuronate,C00191,LightGBM,CAG-103 sp900757655,0.04659992243248097,Other
C00785_Urocanate,C00785,LightGBM,Avispirillum faecium,0.04537312801287161,Other
C11118_1-Methyl-2-pyrrolidinone,C11118,RF,Evtepia excrementipullorum,0.04377253599893332,Other
C00191_Glucuronate,C00191,LightGBM,Leptotrichia wadei,0.04094218369381295,Other
C00785_Urocanate,C00785,LightGBM,UMGS902 sp003343845,0.04037541998261265,Other
C00191_Glucuronate,C00191,LightGBM,Scatavimonas merdipullorum,0.03956310873556269,Other
C00003_NAD+,C00003,XGBoost,Morganella psychrotolerans_B,0.0382106639444828,Other
C00003_NAD+,C00003,XGBoost,Neisseria subflava,0.037988826632499695,Other
C02155_Gly-Leu,C02155,XGBoost,Agathobacter rectalis,0.03690878674387932,Other
C00092_G6P,C00092,LightGBM,Neisseria subflava,0.03675563772369721,Other
C00191_Glucuronate,C00191,LightGBM,Streptococcus parauberis,0.03670436929120968,Other
C00255_Riboflavin,C00255,RF,Romboutsia_D sp000686145,0.036532410845880145,Other
C02155_Gly-Leu,C02155,XGBoost,Brachyspira aalborgi,0.03638419136404991,Other
C00003_NAD+,C00003,XGBoost,CAG-177 sp003538135,0.036011889576911926,Other
C00191_Glucuronate,C00191,LightGBM,UBA5905 sp900763035,0.03540987774976584,Other
C00191_Glucuronate,C00191,LightGBM,Neisseria flavescens_C,0.03504782321921394,Other
C00191_Glucuronate,C00191,LightGBM,Intestinibacter sp900540355,0.034508715175344894,Other
C08277_Sebacate,C08277,RF,Spyradocola merdavium,0.03300158007500105,Other
C00785_Urocanate,C00785,LightGBM,Fimisoma sp900754795,0.03289091789142459,Other
3-Indoxyl sulfate,3-Indoxyl sulfate,LightGBM,Clostridium saudiense,0.03269228065091934,Other
C00092_G6P,C00092,LightGBM,Prevotella copri_A,0.03265445220276758,Other
C02378_6-Aminohexanoate,C02378,RF,UBA3818 sp904397845,0.03233800052319584,Other
C00191_Glucuronate,C00191,LightGBM,CCUG-7971 spG000499525,0.031784080874180026,Other
C00003_NAD+,C00003,XGBoost,Erysipelatoclostridium ramosum,0.03139842674136162,Other
C01879_5-Oxoproline,C01879,RF,Scatavimonas merdipullorum,0.03104638905848012,Other
C00003_NAD+,C00003,XGBoost,Megasphaera sp000417505,0.03048529662191868,Other
C00785_Urocanate,C00785,LightGBM,Alistipes avistercoris,0.03035749714209045,Other
C00191_Glucuronate,C00191,LightGBM,Ruminococcus_E sp902766775,0.030324792792030233,Other
C01551_Allantoin,C01551,SVR,Aphodousia sp905212345,0.02936887915387942,Other
