species,metabolite,rho,pval,qval,pathway,metabolite_name
Acetatifactor intestinalis,C02678_Dodecanedioate,0.5050349015279155,7.357164375686205e-24,1.2755851594564743e-19,Other,C02678
UBA5905 sp900763035,C02714_N-Acetylputrescine,0.4954833680759194,6.757202696556886e-23,3.456506130798641e-19,Other,C02714
ER4 sp000765235,C05629_3-Phenylpropionate,0.4947577712570704,7.974405654166896e-23,3.456506130798641e-19,Other,C05629
Acetatifactor sp003447295,C02678_Dodecanedioate,0.4957553515485355,6.349797687573383e-23,3.456506130798641e-19,Other,C02678
UBA5905 sp900763035,C00134_Putrescine,0.48678900958642635,4.791774900886542e-22,1.6615958646314173e-18,Polyamine,C00134
ER4 sp000765235,C02678_Dodecanedioate,0.475279568360775,5.888101909220112e-21,1.7014651817009718e-17,Other,C02678
UBA5905 sp900763035,C08277_Sebacate,-0.4535889378057725,5.183664953534668e-19,1.2839197566340581e-15,Other,C08277
ER4 sp900552015,C05629_3-Phenylpropionate,0.45249137532226763,6.447680948998896e-19,1.3973736536717858e-15,Other,C05629
Alistipes shahii,"C03283_2,4-Diaminobutyrate",0.44509972713190593,2.7465168637190453e-18,5.291012153684534e-15,Other,C03283
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,-0.43933341662700665,8.303013699975363e-18,1.4395765153017283e-14,Other,C05332
Avispirillum faecium,C02714_N-Acetylputrescine,0.4382255949368688,1.0244676128781213e-17,1.510643186104751e-14,Other,C02714
ER4 sp900552015,C02678_Dodecanedioate,0.43811800002075124,1.0455484042713699e-17,1.510643186104751e-14,Other,C02678
Avispirillum faecium,C00134_Putrescine,0.43470614894947956,1.9871236788324043e-17,2.35429541182904e-14,Polyamine,C00134
Faecousia sp003525905,C08277_Sebacate,0.434635732543097,2.0134812944498058e-17,2.35429541182904e-14,Other,C08277
ER4 sp000765235,C08277_Sebacate,0.43457412622513175,2.0368226541374786e-17,2.35429541182904e-14,Other,C08277
Faecousia sp003525905,C02678_Dodecanedioate,0.4322572316127218,3.1366517088002315e-17,3.3989542079486505e-14,Other,C02678
Alistipes shahii,C08277_Sebacate,0.4313438872593741,3.715282267273707e-17,3.7891508205877376e-14,Other,C08277
Alistipes shahii,C02678_Dodecanedioate,0.43024979062536894,4.547534218038343e-17,4.380286015130488e-14,Other,C02678
Faecalibacterium prausnitzii_C,C00398_Tryptamine,-0.42233188970418195,1.9215938524308826e-16,1.665829710672332e-13,Indole / Tryptophan,C00398
Gemmiger qucibialis,C05332_Phenethylamine,-0.42254734281704787,1.8486195077302386e-16,1.665829710672332e-13,Other,C05332
Acetatifactor sp003447295,C05332_Phenethylamine,-0.42128189994793597,2.31969663222547e-16,1.9151857242631046e-13,Other,C05332
Faecalibacterium sp900539945,C05332_Phenethylamine,-0.4190105075443111,3.4781259851138373e-16,2.741079469541078e-13,Other,C05332
Alangreenwoodia gallinarii,C02714_N-Acetylputrescine,0.417127587528053,4.854763026252307e-16,3.6596470151809783e-13,Other,C02714
CAG-170 sp000432135,C02678_Dodecanedioate,0.4153080766363792,6.687332739204455e-16,4.831040626346952e-13,Other,C02678
Faecalibacterium prausnitzii,C05332_Phenethylamine,-0.4150687075767382,6.974093358370049e-16,4.836673225896797e-13,Other,C05332
ER4 sp900552015,C08277_Sebacate,0.4134131458286625,9.315545245941988e-16,6.212035518236238e-13,Other,C08277
Faecousia sp000434635,C08277_Sebacate,0.4122736443530118,1.1358921931877493e-15,7.294110683514516e-13,Other,C08277
Faecivivens stercoravium,C00134_Putrescine,0.4111312603430756,1.3846984790255226e-15,8.574250796194468e-13,Polyamine,C00134
UBA5905 sp900763035,C02678_Dodecanedioate,-0.4084459572014657,2.1991795919502113e-15,1.3148060608700954e-12,Other,C02678
ER4 sp000765235,C00695_Cholate,-0.4071459630914832,2.7471024295541094e-15,1.5660921569009936e-12,Bile Acid,C00695
Alangreenwoodia gallinarii,C08277_Sebacate,-0.40703394802760956,2.8001417039987772e-15,1.5660921569009936e-12,Other,C08277
Faecalibacterium prausnitzii,C00398_Tryptamine,-0.40615183967090696,3.25441897762011e-15,1.7632848823117957e-12,Indole / Tryptophan,C00398
Acetatifactor intestinalis,C05629_3-Phenylpropionate,0.4053783438105889,3.711664199791733e-15,1.9500858756360323e-12,Other,C05629
Alistipes putredinis,C02678_Dodecanedioate,0.4042004471256306,4.53137804224977e-15,2.310736249897839e-12,Other,C02678
Lachnospira sp003451515,C02678_Dodecanedioate,0.40394440110800056,4.731764321590896e-15,2.3439808516497988e-12,Other,C02678
Lachnospira sp003537285,C02678_Dodecanedioate,0.4033399716698599,5.239886369497891e-15,2.523587496509845e-12,Other,C02678
Acetatifactor intestinalis,"C03283_2,4-Diaminobutyrate",0.4021057282864601,6.4491249572190484e-15,3.0220250948179423e-12,Other,C03283
Acetatifactor sp003447295,"C03283_2,4-Diaminobutyrate",0.40180415911435313,6.783875074675592e-15,3.0952322643348793e-12,Other,C03283
UBA5905 sp900763035,C00431_5-Aminovalerate,0.4016220929531236,6.994154831810926e-15,3.1093501659984057e-12,Other,C00431
Faecousia sp003525905,C02714_N-Acetylputrescine,-0.40117749507582,7.534859218117154e-15,3.26598472809288e-12,Other,C02714
Alangreenwoodia gallinarii,C00134_Putrescine,0.3994711927573053,1.0017113348475093e-14,4.236017347216126e-12,Polyamine,C00134
ER4 sp000765235,"C03283_2,4-Diaminobutyrate",0.3979674812233147,1.2856982286310307e-14,5.307484735239241e-12,Other,C03283
Acetatifactor intestinalis,C05332_Phenethylamine,-0.3956752068291416,1.876399248464132e-14,7.393865947697983e-12,Other,C05332
