species,metabolite,rho,qval,rho_partial,pval_partial,pathway,qval_partial,survives_adjustment
Acetatifactor intestinalis,C02678_Dodecanedioate,0.5050349015279155,1.2755851594564743e-19,0.5018048146388733,1.5695814199981574e-23,Other,3.1391628399963144e-20,True
UBA5905 sp900763035,C02714_N-Acetylputrescine,0.4954833680759194,3.456506130798641e-19,0.481465610583957,1.5471181351837605e-21,Other,7.735590675918802e-19,True
ER4 sp000765235,C05629_3-Phenylpropionate,0.4947577712570704,3.456506130798641e-19,0.48147566286154453,1.5437274496114388e-21,Other,7.735590675918802e-19,True
Acetatifactor sp003447295,C02678_Dodecanedioate,0.4957553515485355,3.456506130798641e-19,0.4869076264619601,4.667158880811329e-22,Other,4.667158880811329e-19,True
UBA5905 sp900763035,C00134_Putrescine,0.48678900958642635,1.6615958646314173e-18,0.4567996190474002,2.7255005591130104e-19,Polyamine,1.0902002236452041e-16,True
ER4 sp000765235,C02678_Dodecanedioate,0.475279568360775,1.7014651817009718e-17,0.451099977655223,8.492782732506298e-19,Other,2.8309275775020994e-16,True
UBA5905 sp900763035,C08277_Sebacate,-0.4535889378057725,1.2839197566340581e-15,-0.4490461537401078,1.2725084456774425e-18,Other,3.635738416221264e-16,True
ER4 sp900552015,C05629_3-Phenylpropionate,0.45249137532226763,1.3973736536717858e-15,0.443924949121115,3.4467359371471292e-18,Other,8.616839842867823e-16,True
Alistipes shahii,"C03283_2,4-Diaminobutyrate",0.44509972713190593,5.291012153684534e-15,0.44269885846335716,4.364506241625468e-18,Other,8.729012483250936e-16,True
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,-0.43933341662700665,1.4395765153017283e-14,-0.4394513983866956,8.118891247272063e-18,Other,1.476162044958557e-15,True
Avispirillum faecium,C02714_N-Acetylputrescine,0.4382255949368688,1.510643186104751e-14,0.41122086921757095,1.3633890544843648e-15,Other,9.40268313437493e-14,True
ER4 sp900552015,C02678_Dodecanedioate,0.43811800002075124,1.510643186104751e-14,0.4291656207511177,5.552012674395675e-17,Other,6.531779616936087e-15,True
Avispirillum faecium,C00134_Putrescine,0.43470614894947956,2.35429541182904e-14,0.4022329842225195,6.312774005826854e-15,Polyamine,3.322512634645713e-13,True
Faecousia sp003525905,C08277_Sebacate,0.434635732543097,2.35429541182904e-14,0.4297253890087822,5.0088541128379837e-17,Other,6.26106764104748e-15,True
ER4 sp000765235,C08277_Sebacate,0.43457412622513175,2.35429541182904e-14,0.4228944355761018,1.7367403895351961e-16,Other,1.5123962530736172e-14,True
Faecousia sp003525905,C02678_Dodecanedioate,0.4322572316127218,3.3989542079486505e-14,0.423579426491715,1.5350977501915642e-16,Other,1.4619978573252992e-14,True
Alistipes shahii,C08277_Sebacate,0.4313438872593741,3.7891508205877376e-14,0.436241849756936,1.489661171339969e-17,Other,2.291786417446106e-15,True
Alistipes shahii,C02678_Dodecanedioate,0.43024979062536894,4.380286015130488e-14,0.43236540431122084,3.074280654785958e-17,Other,4.391829506837083e-15,True
Faecalibacterium prausnitzii_C,C00398_Tryptamine,-0.42233188970418195,1.665829710672332e-13,-0.43876353539177176,9.251759260838455e-18,Indole / Tryptophan,1.5419598768064092e-15,True
Gemmiger qucibialis,C05332_Phenethylamine,-0.42254734281704787,1.665829710672332e-13,-0.4170586576245951,4.914196115504591e-16,Other,3.931356892403672e-14,True
Acetatifactor sp003447295,C05332_Phenethylamine,-0.42128189994793597,1.9151857242631046e-13,-0.4197940259601505,3.0256157877031124e-16,Other,2.5213464897525935e-14,True
Faecalibacterium sp900539945,C05332_Phenethylamine,-0.4190105075443111,2.741079469541078e-13,-0.40160083956622417,7.01911419087583e-15,Other,3.509557095437915e-13,True
Alangreenwoodia gallinarii,C02714_N-Acetylputrescine,0.417127587528053,3.6596470151809783e-13,0.41318020172336245,9.701568452504053e-16,Other,6.92969175178861e-14,True
CAG-170 sp000432135,C02678_Dodecanedioate,0.4153080766363792,4.831040626346952e-13,0.4087313508710154,2.09408428977483e-15,Other,1.3088026811092686e-13,True
Faecalibacterium prausnitzii,C05332_Phenethylamine,-0.4150687075767382,4.836673225896797e-13,-0.4137034945737806,8.855435197974814e-16,Other,6.559581628129491e-14,True
ER4 sp900552015,C08277_Sebacate,0.4134131458286625,6.212035518236238e-13,0.41679212866455784,5.150795006818195e-16,Other,3.962150005244765e-14,True
Faecousia sp000434635,C08277_Sebacate,0.4122736443530118,7.294110683514516e-13,0.4241147820752381,1.3936726328834345e-16,Other,1.3936726328834344e-14,True
Faecivivens stercoravium,C00134_Putrescine,0.4111312603430756,8.574250796194468e-13,0.42553646133405787,1.0772816372231525e-16,Polyamine,1.1339806707612131e-14,True
UBA5905 sp900763035,C02678_Dodecanedioate,-0.4084459572014657,1.3148060608700954e-12,-0.44318711194618415,3.973346610018337e-18,Other,8.729012483250936e-16,True
ER4 sp000765235,C00695_Cholate,-0.4071459630914832,1.5660921569009936e-12,-0.3701113620031949,1.0476447319168868e-12,Bile Acid,2.35425782453233e-11,True
Alangreenwoodia gallinarii,C08277_Sebacate,-0.40703394802760956,1.5660921569009936e-12,-0.41071653209060377,1.487653565780141e-15,Other,9.917690438534274e-14,True
Faecalibacterium prausnitzii,C00398_Tryptamine,-0.40615183967090696,1.7632848823117957e-12,-0.42761383629952116,7.378499002622292e-17,Indole / Tryptophan,8.19833222513588e-15,True
Acetatifactor intestinalis,C05629_3-Phenylpropionate,0.4053783438105889,1.9500858756360323e-12,0.3917071007565632,3.585537251828415e-14,Other,1.391543046168276e-12,True
Alistipes putredinis,C02678_Dodecanedioate,0.4042004471256306,2.310736249897839e-12,0.3916022698617208,3.6469746334268256e-14,Other,1.391543046168276e-12,True
Lachnospira sp003451515,C02678_Dodecanedioate,0.40394440110800056,2.3439808516497988e-12,0.4228863937540317,1.7392556910346597e-16,Other,1.5123962530736172e-14,True
Lachnospira sp003537285,C02678_Dodecanedioate,0.4033399716698599,2.523587496509845e-12,0.43113759040587646,3.859830660123769e-17,Other,5.146440880165026e-15,True
Acetatifactor intestinalis,"C03283_2,4-Diaminobutyrate",0.4021057282864601,3.0220250948179423e-12,0.38056601790224476,2.1095526011332959e-13,Other,5.779596167488482e-12,True
Acetatifactor sp003447295,"C03283_2,4-Diaminobutyrate",0.40180415911435313,3.0952322643348793e-12,0.37353717820505383,6.235767104518984e-13,Other,1.5209188059802397e-11,True
UBA5905 sp900763035,C00431_5-Aminovalerate,0.4016220929531236,3.1093501659984057e-12,0.36338983479225384,2.848535124849206e-12,Other,5.5597142382529343e-11,True
