species_a,species_b,rho,pval,qval
Agathobacter rectalis,Agathobacter sp900546625,0.9824205769547802,1.4789199192210905e-253,1.1344794700344985e-249
Agathobacter sp900317585,Agathobacter sp900546625,0.9791584692736339,6.310523770784459e-241,2.4204013922843795e-237
Agathobacter sp900317585,Agathobacter rectalis,0.9780555908183071,4.186074709232259e-237,1.0703793031506886e-233
Acetatifactor intestinalis,Acetatifactor sp003447295,0.9616192553387646,7.677330402131885e-196,1.4723200378688423e-192
Lachnospira eligens_A,Lachnospira sp003537285,0.9605930614010347,6.655780297470025e-194,1.0211298132378512e-190
Lachnospira eligens_A,Lachnospira sp003451515,0.9547078836853833,1.067201332543323e-183,1.3644169036566384e-180
Lachnospira sp003451515,Lachnospira sp003537285,0.9537095489169676,4.205270061515339e-182,4.608375234554881e-179
Lachnospira sp003451515,Lachnospira eligens,0.9130262582723064,2.0573129655551418e-136,1.9727059698466866e-133
Lachnospira eligens_A,Lachnospira eligens,0.9109730087730534,9.590849273699099e-135,8.174600530949532e-132
Lachnospira sp003537285,Lachnospira eligens,0.9099542822415315,6.234159121380572e-134,4.782223462011037e-131
Escherichia sp002965065,Escherichia fergusonii,0.897008959164202,2.2619795978705494e-124,1.5774223177513624e-121
Escherichia sp002965065,Escherichia ruysiae,0.8943272987117575,1.4978965631249976e-122,9.575303779776548e-120
Ruminococcus_E bromii_B,Ruminococcus_E bromii,0.8933809485788664,6.403598627428015e-122,3.7786157746923307e-119
Escherichia ruysiae,Escherichia sp005843885,0.8883028251495348,1.240100291169037e-118,6.794863809684059e-116
Escherichia fergusonii,Escherichia sp004211955,0.8880144683867358,1.8849885703596205e-118,9.639831548819099e-116
Escherichia fergusonii,Escherichia sp005843885,0.8731080895560283,1.1238341244037228e-109,5.09534347107707e-107
Bifidobacterium adolescentis,Bifidobacterium ruminantium,0.8730678804456777,1.1826308106842717e-109,5.09534347107707e-107
Escherichia fergusonii,Escherichia ruysiae,0.8730592642077455,1.1956222458530472e-109,5.09534347107707e-107
Ruminococcus_E sp905215855,Ruminococcus_E bromii,0.8719471950986243,4.865145798443757e-109,1.9642386010453718e-106
Escherichia sp004211955,Escherichia ruysiae,0.8691561084244405,1.5561300765175426e-107,5.968536908483035e-105
ER4 sp000765235,ER4 sp900552015,0.8673171160417692,1.4615571492923251e-106,5.3388594724863934e-104
Escherichia coli_E,Escherichia sp001660175,0.866343481155426,4.720166935111939e-106,1.6458363890565313e-103
Escherichia sp002965065,Escherichia sp005843885,0.8607799763225782,3.2234624102261045e-103,1.0750947890801934e-100
Prevotella copri_A,Prevotella sp900767615,0.8589547699205985,2.579279885182264e-102,8.244023333013812e-100
Prevotella hominis,Prevotella sp900767615,0.855365532405958,1.416048036730005e-100,4.345001795902347e-98
Prevotella sp900551275,Prevotella sp900767615,0.8527864051849073,2.356660562072209e-99,6.953055066021507e-97
Lachnospira sp000436475,Lachnospira sp000436535,0.8511955604546846,1.3000930260280655e-98,3.693708741726404e-96
Prevotella sp900551275,Prevotella sp900546535,0.8502489231138625,3.558041799510867e-98,9.747763801445665e-96
Prevotella sp900551275,Prevotella hominis,0.848832413597802,1.5843773698850058e-97,4.1909513118578895e-95
Escherichia sp002965065,Escherichia sp004211955,0.8474707607965769,6.563618188418521e-97,1.6783171707786156e-94
Prevotella sp900546535,Prevotella hominis,0.8473682275651833,7.300969664521408e-97,1.8066367192433458e-94
Escherichia coli_E,Escherichia albertii,0.846648197281979,1.5385841126261317e-96,3.6882746024859554e-94
Escherichia sp004211955,Escherichia sp005843885,0.84560620690804,4.494505690567813e-96,1.0447682773438087e-93
Ruminococcus_E bromii_B,Ruminococcus_E sp905215855,0.8453758661473182,5.690268609360077e-96,1.2838250147765043e-93
Prevotella copri_A,Prevotella sp900551275,0.8442646586619902,1.7661692034214522e-95,3.870938274127417e-93
Escherichia coli_E,Escherichia marmotae,0.8400806135220941,1.1619125813436081e-93,2.4758420587463383e-91
Prevotella sp900546535,Prevotella sp900767615,0.8387373420284577,4.343044655847579e-93,9.004187987839669e-91
