Polyamine,KEGG,Species,Interaction_coef,Interaction_pval,N,Interaction_qval
Spermidine,C00315,Lachnospira sp000437735,0.027153858350021542,0.0013879814434801612,347,0.8327888660880967
Putrescine,C00134,Alistipes onderdonkii,0.024659445387267893,0.03338313576669078,347,0.9873954788693271
Putrescine,C00134,Prevotella sp900551275,0.0037718023256319115,0.6392503190774873,347,0.9873954788693271
Putrescine,C00134,Prevotella sp015074785,0.004475181313694784,0.5811865531996261,347,0.9873954788693271
Putrescine,C00134,Prevotella copri,0.0037111972635605664,0.6623043631622506,347,0.9873954788693271
Putrescine,C00134,Megamonas funiformis,-0.0100477620812728,0.2698845572321835,347,0.9873954788693271
Spermine,C00750,Alloprevotella sp900540885,-0.013545721910766332,0.36801608647238293,347,0.9873954788693271
Putrescine,C00134,Escherichia coli,-0.011300507420445596,0.21945704045312986,347,0.9873954788693271
Putrescine,C00134,Fimenecus sp000432435,-0.002332239233140115,0.8083591840096457,347,0.9873954788693271
Putrescine,C00134,Agathobacter rectalis,0.0024406552221930737,0.7953157948337624,347,0.9873954788693271
Putrescine,C00134,Bacteroides stercoris,0.017835575435963105,0.05799562812093104,347,0.9873954788693271
Putrescine,C00134,Sutterella wadsworthensis,-0.004636155096718595,0.630080522897255,347,0.9873954788693271
Putrescine,C00134,Alistipes putredinis,0.001747008039525743,0.8568448037942373,347,0.9873954788693271
Putrescine,C00134,Prevotella sp000434975,0.0017937673256349653,0.8644422758700528,347,0.9873954788693271
Putrescine,C00134,Phascolarctobacterium_A succinatutens,-0.011202052169252087,0.2555267855095622,347,0.9873954788693271
Putrescine,C00134,Fusobacterium_A mortiferum,-0.0013496437223979125,0.8909191250801547,347,0.9873954788693271
Spermine,C00750,Faecalibacterium prausnitzii_E,0.009311365652382535,0.5495774308963979,347,0.9873954788693271
Spermine,C00750,Clostridium saudiense,-0.014857884530110011,0.3227574705933751,347,0.9873954788693271
Putrescine,C00134,Phocaeicola coprocola,-0.004462213247876075,0.6570361154278206,347,0.9873954788693271
Putrescine,C00134,Ruminococcus_D bicirculans,-0.0034674225406225627,0.7210764619031382,347,0.9873954788693271
Putrescine,C00134,Lachnospira rogosae_A,-0.00158479145431155,0.8737676114704553,347,0.9873954788693271
Spermine,C00750,Ruminococcus_C sp000433635,0.007844920355260986,0.6098379173870994,347,0.9873954788693271
Putrescine,C00134,Prevotella sp900767615,0.00134010902443809,0.8941642850622429,347,0.9873954788693271
Putrescine,C00134,Ruminococcus_B gnavus,-0.0033525284405007427,0.7371214472303789,347,0.9873954788693271
Putrescine,C00134,Agathobacter faecis,-0.01677004092696755,0.11077436469567731,347,0.9873954788693271
Putrescine,C00134,Roseburia inulinivorans,-0.007587504948448048,0.4823368537300149,347,0.9873954788693271
Putrescine,C00134,Gemmiger formicilis,-0.013658577373546836,0.20970029015700692,347,0.9873954788693271
Putrescine,C00134,Barnesiella intestinihominis,-0.003804048831594444,0.7250754522937224,347,0.9873954788693271
