Polyamine,KEGG,Species,Interaction_coef,Interaction_pval,N,Feature_source,Interaction_qval
Putrescine,C00134,Fusobacterium polymorphum,-0.19108654285908647,0.02781985318436676,347,Boruta,0.40338787117331804
Putrescine,C00134,Dysosmobacter sp018228705,0.1054587458924458,0.024878142707856914,347,Boruta,0.40338787117331804
Putrescine,C00134,Dysosmobacter sp900115635,0.2323586620100008,0.10300875802177302,347,Boruta,0.420325072037304
Putrescine,C00134,Intestinimonas timonensis,0.0771029085513685,0.07357949010374946,347,Boruta,0.420325072037304
Putrescine,C00134,Intestinimonas massiliensis,0.0659496866601337,0.05200594784080746,347,Boruta,0.420325072037304
Putrescine,C00134,HGM12998 sp900756495,-0.06588988197647262,0.10980156887331471,347,Boruta,0.420325072037304
Spermine,C00750,Pauljensenia sp902373435,-0.1502333350757611,0.0770737192801205,347,Boruta,0.420325072037304
Spermine,C00750,Meiothermus_B silvanus,0.20623388619666524,0.11595174401029076,347,Boruta,0.420325072037304
Spermidine,C00315,Veillonella atypica,0.014043257117690187,0.273431824200046,347,Boruta,0.6830331690771968
Spermidine,C00315,Lawsonibacter sp900545895,0.024428209611904932,0.2888448724791351,347,Boruta,0.6830331690771968
Putrescine,C00134,Angelakisella massiliensis,0.041445930844351976,0.4265884083250676,347,Boruta,0.6830331690771968
Spermine,C00750,Faecalimonas sp900551895,0.07217330037685046,0.32691543802587175,347,Boruta,0.6830331690771968
Spermine,C00750,Limivicinus sp900546515,-0.09208042577784961,0.3414142627805822,347,Boruta,0.6830331690771968
Spermidine,C00315,Barnesiella intestinihominis,0.006190194206006934,0.44750449008506,347,Boruta,0.6830331690771968
Putrescine,C00134,UMGS856 sp900546265,0.033262412131538036,0.2200046454901115,347,Boruta,0.6830331690771968
Putrescine,C00134,Avispirillum sp018370615,0.09029631164334109,0.33767537067418973,347,Boruta,0.6830331690771968
Spermidine,C00315,Enterenecus capillosus_A,0.05332394608613065,0.4027666116496126,347,Boruta,0.6830331690771968
Spermine,C00750,F0428 sp003043955,-0.07644769859274107,0.3581450093103048,347,Boruta,0.6830331690771968
Spermidine,C00315,Collinsella sp900556675,-0.14641187785578208,0.4078867139674953,347,Boruta,0.6830331690771968
Putrescine,C00134,Granulicatella adiacens,-0.04228207215057323,0.5093307323356095,347,Boruta,0.7033614875110799
Spermidine,C00315,Agathobacter sp900549895,-0.0350608439807407,0.4991777871083548,347,Boruta,0.7033614875110799
Spermine,C00750,Merdivicinus sp905214265,0.034613401454628115,0.6410445440673895,347,Boruta,0.8450132626342862
Spermidine,C00315,Bifidobacterium moukalabense,-0.01415956857903407,0.7194364102733877,347,Boruta,0.907115473822967
Spermidine,C00315,Bifidobacterium breve,-0.004935747516900236,0.7691561648531355,347,Boruta,0.9293970325308721
Spermidine,C00315,Limivicinus sp900754515,-0.01530526630877007,0.8425749939879139,347,Boruta,0.9717559513311054
Putrescine,C00134,Granulicatella sp015264885,-0.016949579064636535,0.8712294736071979,347,Boruta,0.9717559513311054
Spermidine,C00315,Caccousia stercoris,0.0031423563774786063,0.961038597197756,347,Boruta,0.9939738515720278
Spermidine,C00315,CAJJPW01 sp905193725,0.008417897766022437,0.9364811849788415,347,Boruta,0.9939738515720278
Spermine,C00750,Agathobacter sp900548765,0.0008323905931538617,0.9939738515720278,347,Boruta,0.9939738515720278
