Group,Species,N_polyamine_connections,Degree,Connected_polyamines
Advanced_CRC,CAG-83 sp001916855,1,1,C00134_Putrescine
Advanced_CRC,UBA1417 sp003531055,1,1,C00134_Putrescine
Advanced_CRC,Alistipes communis,1,1,C00134_Putrescine
Advanced_CRC,CAG-83 sp000431575,1,1,C00134_Putrescine
Advanced_CRC,CAG-83 sp000435975,1,1,C00134_Putrescine
Advanced_CRC,UMGS856 sp900546265,1,1,C00134_Putrescine
Early_CRC,Sutterella wadsworthensis,2,2,"C00134_Putrescine, C01672_Cadaverine"
Early_CRC,Faecalibacterium sp900539885,2,2,"C00134_Putrescine, C01672_Cadaverine"
Early_CRC,Faecalibacterium prausnitzii_F,2,2,"C00134_Putrescine, C01672_Cadaverine"
Early_CRC,Onthomonas sp900758315,2,2,"C00134_Putrescine, C01672_Cadaverine"
Early_CRC,Klebsiella oxytoca,2,2,"C01672_Cadaverine, C00062_Arg"
Early_CRC,UMGS856 sp900546265,2,2,"C00134_Putrescine, C00062_Arg"
Early_CRC,Fimenecus sp000432435,1,1,C00134_Putrescine
Early_CRC,Sutterella wadsworthensis_A,1,1,C01672_Cadaverine
Early_CRC,ER4 sp000765235,1,1,C00134_Putrescine
Early_CRC,Ruminococcus_E bromii_B,1,1,C00134_Putrescine
Early_CRC,Acetatifactor sp900066565,1,1,C00134_Putrescine
Early_CRC,Faecalibacterium prausnitzii_D,1,1,C00134_Putrescine
Early_CRC,Bifidobacterium longum,1,1,C00315_Spermidine
Early_CRC,Acetatifactor intestinalis,1,1,C00134_Putrescine
Early_CRC,Gemmiger qucibialis,1,1,C00134_Putrescine
Early_CRC,Faecalibacterium sp900539945,1,1,C00134_Putrescine
Early_CRC,Ruminococcus_E bromii,1,1,C00134_Putrescine
Early_CRC,Streptococcus salivarius,1,1,C00315_Spermidine
Early_CRC,Dysosmobacter sp001916835,1,1,C00134_Putrescine
Early_CRC,Ruminococcus_E sp003526955,1,1,C00134_Putrescine
Early_CRC,Eisenbergiella sp900066775,1,1,C00134_Putrescine
Early_CRC,Alistipes communis,1,1,C00134_Putrescine
Early_CRC,CAG-83 sp000431575,1,1,C00134_Putrescine
Early_CRC,Acetatifactor sp003447295,1,1,C00134_Putrescine
Early_CRC,Alloprevotella sp900540885,1,1,C01672_Cadaverine
Early_CRC,Prevotella sp000436035,1,1,C01672_Cadaverine
Early_CRC,Ruthenibacterium lactatiformans,1,1,C00062_Arg
Early_CRC,Klebsiella ornithinolytica,1,1,C00062_Arg
Early_CRC,Faecalibacterium sp900765705,1,1,C00134_Putrescine
Early_CRC,KLE1615 sp900066985,1,1,C00134_Putrescine
Early_CRC,Bifidobacterium infantis,1,1,C00315_Spermidine
Early_CRC,CAG-170 sp900545925,1,1,C00134_Putrescine
