species,metabolite,rho,pval,qval,stage
CAG-83 sp001916855,C00624_N-Acetylglutamate,0.6632742519534972,4.6204804238580124e-08,0.005752498127703225,Stage_III_IV
Faecousia sp003525905,C02714_N-Acetylputrescine,-0.6046502763483895,1.2845184243813675e-06,0.023746432591605977,Stage_III_IV
Alistipes shahii,C00624_N-Acetylglutamate,0.5922241280731847,2.3911600440703257e-06,0.023746432591605977,Stage_III_IV
Alistipes onderdonkii,C02714_N-Acetylputrescine,-0.5998475319230037,1.6383030437665413e-06,0.023746432591605977,Stage_III_IV
Limiplasma merdipullorum,C03626_ADMA,-0.5882599580712788,2.89968211800376e-06,0.023746432591605977,Stage_III_IV
ER4 sp900552015,C00055_CMP,0.6269987994048856,3.9215505685090505e-07,0.023746432591605977,Stage_III_IV
Avimicrobium caecorum,2-Hydroxypentanoate,-0.5883092874955926,2.8927782017677736e-06,0.023746432591605977,Stage_III_IV
Limiplasma pullistercoris,C03626_ADMA,-0.5836096817228893,3.6239535681968963e-06,0.023746432591605977,Stage_III_IV
UBA11524 sp017397765,C02714_N-Acetylputrescine,0.5836096817228893,3.6239535681968963e-06,0.023746432591605977,Stage_III_IV
Acetatifactor sp002431915,C05332_Phenethylamine,-0.5849168081262064,3.4049900554107932e-06,0.023746432591605977,Stage_III_IV
UBA1417 sp003531055,C02714_N-Acetylputrescine,-0.6154755098151324,7.313611480488328e-07,0.023746432591605977,Stage_III_IV
Avimicrobium caecorum,C00624_N-Acetylglutamate,0.6124261482752049,8.589358080398463e-07,0.023746432591605977,Stage_III_IV
Avimicrobium caecorum,C01042_N-Acetylaspartate,0.595578425767105,2.0270965712686843e-06,0.023746432591605977,Stage_III_IV
Avimicrobium caecorum,C00025_Glu,0.5849056603773585,3.406804272150887e-06,0.023746432591605977,Stage_III_IV
CAG-83 sp900545585,C00055_CMP,0.6019554404645847,1.4731114253980737e-06,0.023746432591605977,Stage_III_IV
ER4 sp900317525,C00055_CMP,0.5940269493541088,2.188540661679556e-06,0.023746432591605977,Stage_III_IV
CAG-83 sp001916855,C08277_Sebacate,0.5976367448065562,1.8300057450869691e-06,0.023746432591605977,Stage_III_IV
CAG-83 sp001916855,C02714_N-Acetylputrescine,-0.5840670859538785,3.5458837700315562e-06,0.023746432591605977,Stage_III_IV
CAG-83 sp001916855,C00055_CMP,0.5945605977942371,2.1317051508951327e-06,0.023746432591605977,Stage_III_IV
UBA5905 sp900763035,C00847_4-Pyridoxate,-0.5821612349914237,3.8818498451471924e-06,0.02397523362480916,Stage_III_IV
Acetatifactor sp002431915,C00055_CMP,0.5812956222824794,4.044015310208774e-06,0.02397523362480916,Stage_III_IV
ER4 sp000765235,C00624_N-Acetylglutamate,0.5775109586430341,4.829807155030882e-06,0.025054624616722698,Stage_III_IV
Alistipes communis,C02714_N-Acetylputrescine,-0.5780445969125214,4.7110163449082695e-06,0.025054624616722698,Stage_III_IV
Faecousia sp003525905,C00055_CMP,0.5791610285219668,4.4712225685768195e-06,0.025054624616722698,Stage_III_IV
CAG-83 sp001916855,C00025_Glu,0.5750714694110921,5.409149486529661e-06,0.026937564442917714,Stage_III_IV
Alistipes communis,C00134_Putrescine,-0.57263198017915,6.052500073026111e-06,0.028006528494798788,Stage_III_IV
UBA1417 sp003531055,C00431_5-Aminovalerate,-0.5725557461406519,6.07370497477564e-06,0.028006528494798788,Stage_III_IV
Faecivivens stercoravium,C00134_Putrescine,0.5691252144082333,7.102518847695184e-06,0.03048129077378312,Stage_III_IV
