species,metabolite,rho,pval,qval,stage
Faecalibacterium prausnitzii_C,C00398_Tryptamine,-0.604791786577902,3.7200993212696985e-08,0.004631523654980774,Stage_I_II
Lachnospira eligens_A,C00398_Tryptamine,-0.5668484367101347,3.82144146894355e-07,0.011894236572086799,Stage_I_II
Lachnospira sp003451515,C00398_Tryptamine,-0.5717443528221047,2.8760282648151657e-07,0.011894236572086799,Stage_I_II
Faecalibacterium prausnitzii,C00398_Tryptamine,-0.5763662437785539,2.1898640136833302e-07,0.011894236572086799,Stage_I_II
Lachnospira sp003451515,C05332_Phenethylamine,-0.5500415605048646,9.798856737352824e-07,0.019336302085491367,Stage_I_II
Ruminococcus_E bromii,C02656_Pimelate,0.5530193005281897,8.324260764173621e-07,0.019336302085491367,Stage_I_II
Lachnospira sp003537285,C00398_Tryptamine,-0.5426794179932084,1.4567620301549286e-06,0.019336302085491367,Stage_I_II
Ruminococcus_E bromii_B,C02656_Pimelate,0.5458033047661445,1.2325823658942099e-06,0.019336302085491367,Stage_I_II
Acetatifactor intestinalis,C05332_Phenethylamine,-0.5414737073089172,1.5531166333728007e-06,0.019336302085491367,Stage_I_II
CAG-83 sp000431575,C05332_Phenethylamine,-0.5415650490274242,1.5456124978028788e-06,0.019336302085491367,Stage_I_II
Faecalibacterium prausnitzii_C,C05332_Phenethylamine,-0.534641346764601,2.222303474506132e-06,0.02515243477963758,Stage_I_II
Butyrivibrio_A sp900771195,C01005_O-Phosphoserine,0.5266580805670977,3.3446455377379174e-06,0.03470069745403089,Stage_I_II
Lachnospira eligens,C05332_Phenethylamine,-0.5230409485142243,4.011604396245431e-06,0.03841882671788894,Stage_I_II
Lachnospira sp003537285,C05332_Phenethylamine,-0.5209766256759684,4.446109790894373e-06,0.0395386192118821,Stage_I_II
Ruminococcus_E bromii_B,C02678_Dodecanedioate,0.5094994519546949,7.780951504382494e-06,0.04036368592898419,Stage_I_II
Ruminococcus_D bicirculans,C02678_Dodecanedioate,0.5177932042382171,5.203350414932274e-06,0.04036368592898419,Stage_I_II
Faecalibacterium sp900539885,C00398_Tryptamine,-0.5176517871223171,5.239638531783294e-06,0.04036368592898419,Stage_I_II
Catenibacterium sp900764565,C00020_AMP,0.5134088417975886,6.445141167583919e-06,0.04036368592898419,Stage_I_II
Veillonella parvula,C06104_Adipate,-0.5094994519546949,7.780951504382494e-06,0.04036368592898419,Stage_I_II
Eubacterium_R sp000434995,C02735_Phenylethanolamine,-0.5098010560049809,7.669336659047987e-06,0.04036368592898419,Stage_I_II
Ruminococcus_E bromii_B,C08277_Sebacate,0.51286079649251,6.618517532209958e-06,0.04036368592898419,Stage_I_II
Fusobacterium_B sp900542625,C05135_4-(beta-Acetylaminoethyl)imidazole,0.5118743149433687,6.941629071394542e-06,0.04036368592898419,Stage_I_II
Allisonella histaminiformans,C01672_Cadaverine,0.5101205699671173,7.5527265702880845e-06,0.04036368592898419,Stage_I_II
Lachnospira eligens_A,C05332_Phenethylamine,-0.510728084859494,7.335562771497011e-06,0.04036368592898419,Stage_I_II
Lachnospira eligens,C00398_Tryptamine,-0.5071109528066206,8.719980499898955e-06,0.040745369970491094,Stage_I_II
Faecalibacterium sp900539885,C00483_Tyramine,-0.506065034709536,9.16361734276105e-06,0.040745369970491094,Stage_I_II
CAG-83 sp000431575,C00398_Tryptamine,-0.5061975356215516,9.10627272127598e-06,0.040745369970491094,Stage_I_II
CAG-127 sp900319515,C02678_Dodecanedioate,0.5062477164778955,9.08464271535153e-06,0.040745369970491094,Stage_I_II
Faecalibacterium prausnitzii_D,C00398_Tryptamine,-0.5041514811269969,1.0030279560636156e-05,0.04253097216681547,Stage_I_II
Erysipelatoclostridium ramosum,C00803_Valerate,-0.5030690537084399,1.055379662577584e-05,0.04253097216681547,Stage_I_II
Raoultibacter timonensis,C00042_Succinate,0.5029959810010961,1.0590041262419915e-05,0.04253097216681547,Stage_I_II
Faecalibacterium sp900539945,C00398_Tryptamine,-0.5009727893229567,1.1640905177749284e-05,0.042671669928219594,Stage_I_II
Pauljensenia mediterranea,C00364_dTMP,0.5009499451954695,1.1653307450276836e-05,0.042671669928219594,Stage_I_II
Faecalibacterium prausnitzii,C10172_Proline betaine,0.5015710632078918,1.1320446739903119e-05,0.042671669928219594,Stage_I_II
