Dataset,Polyamine,KEGG,Model,N_features,N_samples,Mean_R2,Std_R2
ERAWIJANTARI-GASTRIC-CANCER-2020,Putrescine,C00134,RandomForest,15,96,0.44959909171317813,0.16343729760490275
ERAWIJANTARI-GASTRIC-CANCER-2020,Putrescine,C00134,ElasticNet,15,96,0.258217098867263,0.14123127536345806
ERAWIJANTARI-GASTRIC-CANCER-2020,Putrescine,C00134,XGBoost,15,96,0.3871107382459904,0.22333507063096877
ERAWIJANTARI-GASTRIC-CANCER-2020,Spermidine,C00315,RandomForest,6,96,0.19774132478712364,0.10906776789916665
ERAWIJANTARI-GASTRIC-CANCER-2020,Spermidine,C00315,ElasticNet,6,96,0.12950534326687974,0.11649221889269169
ERAWIJANTARI-GASTRIC-CANCER-2020,Spermidine,C00315,XGBoost,6,96,0.1028393770102429,0.11881284292023504
ERAWIJANTARI-GASTRIC-CANCER-2020,Spermine,C00750,RandomForest,4,96,0.25686514771982555,0.18937622665249587
ERAWIJANTARI-GASTRIC-CANCER-2020,Spermine,C00750,ElasticNet,4,96,0.2103870900998095,0.25246240324440483
ERAWIJANTARI-GASTRIC-CANCER-2020,Spermine,C00750,XGBoost,4,96,0.043841783411423044,0.2998319881978411
ERAWIJANTARI-GASTRIC-CANCER-2020,Agmatine,C00179,RandomForest,1,96,-0.13297817252350036,0.30814814847966115
ERAWIJANTARI-GASTRIC-CANCER-2020,Agmatine,C00179,ElasticNet,1,96,-0.028502988204560785,0.028816892231176595
ERAWIJANTARI-GASTRIC-CANCER-2020,Agmatine,C00179,XGBoost,1,96,-0.7990536107365112,0.7756144991156672
ERAWIJANTARI-GASTRIC-CANCER-2020,Cadaverine,C01672,RandomForest,10,96,0.3531782128496297,0.024938312026244653
ERAWIJANTARI-GASTRIC-CANCER-2020,Cadaverine,C01672,ElasticNet,10,96,0.2703073472057431,0.052472977949959906
ERAWIJANTARI-GASTRIC-CANCER-2020,Cadaverine,C01672,XGBoost,10,96,0.31170404049090905,0.1021564938690954
ERAWIJANTARI-GASTRIC-CANCER-2020,Ornithine,C00077,RandomForest,2,96,0.0838204266079875,0.252052864147275
ERAWIJANTARI-GASTRIC-CANCER-2020,Ornithine,C00077,ElasticNet,2,96,-0.07020236387889293,0.03955510327755061
ERAWIJANTARI-GASTRIC-CANCER-2020,Ornithine,C00077,XGBoost,2,96,-0.6861901999260347,0.1760665219705763
ERAWIJANTARI-GASTRIC-CANCER-2020,Arginine,C00062,RandomForest,13,96,0.1849734903046686,0.187491328933227
ERAWIJANTARI-GASTRIC-CANCER-2020,Arginine,C00062,ElasticNet,13,96,-0.044087502476247487,0.03869190833649899
ERAWIJANTARI-GASTRIC-CANCER-2020,Arginine,C00062,XGBoost,13,96,0.11772129512187965,0.3416257007330994
YACHIDA-CRC-2019,Putrescine,C00134,RandomForest,11,347,0.408047246175264,0.08798887142420701
YACHIDA-CRC-2019,Putrescine,C00134,ElasticNet,11,347,0.24488120168123909,0.02418754762988515
YACHIDA-CRC-2019,Putrescine,C00134,XGBoost,11,347,0.37596275869995593,0.10141077426384754
YACHIDA-CRC-2019,Spermidine,C00315,RandomForest,11,347,0.11694693022665706,0.14101335805348075
YACHIDA-CRC-2019,Spermidine,C00315,ElasticNet,11,347,0.06685786420688256,0.0590531618193331
YACHIDA-CRC-2019,Spermidine,C00315,XGBoost,11,347,0.06748177703051932,0.12640863995084328
YACHIDA-CRC-2019,Spermine,C00750,RandomForest,7,347,0.13868135463196257,0.1561068985881511
YACHIDA-CRC-2019,Spermine,C00750,ElasticNet,7,347,-0.029001626488437536,0.027165593323224685
YACHIDA-CRC-2019,Spermine,C00750,XGBoost,7,347,0.054860197009833134,0.1922509546450209
YACHIDA-CRC-2019,Agmatine,C00179,RandomForest,3,347,-0.00321540853642579,0.11404909643861784
YACHIDA-CRC-2019,Agmatine,C00179,ElasticNet,3,347,-0.032042682510618634,0.034642719937359887
YACHIDA-CRC-2019,Agmatine,C00179,XGBoost,3,347,-0.28760590002104114,0.16803807927390238
YACHIDA-CRC-2019,Cadaverine,C01672,RandomForest,29,347,0.41654030454771246,0.057755444480248316
YACHIDA-CRC-2019,Cadaverine,C01672,ElasticNet,29,347,0.32817750168294485,0.06614243198647105
YACHIDA-CRC-2019,Cadaverine,C01672,XGBoost,29,347,0.42781565508529396,0.06293214249154176
YACHIDA-CRC-2019,Ornithine,C00077,RandomForest,11,347,0.14632556019334267,0.11274174684678744
YACHIDA-CRC-2019,Ornithine,C00077,ElasticNet,11,347,0.029839829626692915,0.03374052904690347
YACHIDA-CRC-2019,Ornithine,C00077,XGBoost,11,347,0.10846734604569627,0.11475387101701777
YACHIDA-CRC-2019,Arginine,C00062,RandomForest,20,347,0.254322412127198,0.04266517701339199
YACHIDA-CRC-2019,Arginine,C00062,ElasticNet,20,347,-0.03541887081600699,0.01614986005516876
YACHIDA-CRC-2019,Arginine,C00062,XGBoost,20,347,0.2187336274472723,0.11740491564297821
