species,metabolite,rho_s1,qval_s1,rho_s2,qval_s2,same_direction,max_rho
CAG-83 sp001916855,C00624_N-Acetylglutamate,0.0,,0.6632742519534972,0.005752498127703225,True,0.6632742519534972
ER4 sp900552015,C00055_CMP,0.0,,0.6269987994048856,0.023746432591605977,True,0.6269987994048856
UBA1417 sp003531055,C02714_N-Acetylputrescine,0.0,,-0.6154755098151324,0.023746432591605977,True,0.6154755098151324
Avimicrobium caecorum,C00624_N-Acetylglutamate,0.0,,0.6124261482752049,0.023746432591605977,True,0.6124261482752049
Faecalibacterium prausnitzii_C,C00398_Tryptamine,-0.604791786577902,0.004631523654980774,0.0,,True,0.604791786577902
Faecousia sp003525905,C02714_N-Acetylputrescine,0.0,,-0.6046502763483895,0.023746432591605977,True,0.6046502763483895
CAG-83 sp900545585,C00055_CMP,0.0,,0.6019554404645847,0.023746432591605977,True,0.6019554404645847
Alistipes onderdonkii,C02714_N-Acetylputrescine,0.0,,-0.5998475319230037,0.023746432591605977,True,0.5998475319230037
CAG-83 sp001916855,C08277_Sebacate,0.0,,0.5976367448065562,0.023746432591605977,True,0.5976367448065562
Avimicrobium caecorum,C01042_N-Acetylaspartate,0.0,,0.595578425767105,0.023746432591605977,True,0.595578425767105
CAG-83 sp001916855,C00055_CMP,0.0,,0.5945605977942371,0.023746432591605977,True,0.5945605977942371
ER4 sp900317525,C00055_CMP,0.0,,0.5940269493541088,0.023746432591605977,True,0.5940269493541088
Alistipes shahii,C00624_N-Acetylglutamate,0.0,,0.5922241280731847,0.023746432591605977,True,0.5922241280731847
Avimicrobium caecorum,2-Hydroxypentanoate,0.0,,-0.5883092874955926,0.023746432591605977,True,0.5883092874955926
Limiplasma merdipullorum,C03626_ADMA,0.0,,-0.5882599580712788,0.023746432591605977,True,0.5882599580712788
Acetatifactor sp002431915,C05332_Phenethylamine,0.0,,-0.5849168081262064,0.023746432591605977,True,0.5849168081262064
Avimicrobium caecorum,C00025_Glu,0.0,,0.5849056603773585,0.023746432591605977,True,0.5849056603773585
CAG-83 sp001916855,C02714_N-Acetylputrescine,0.0,,-0.5840670859538785,0.023746432591605977,True,0.5840670859538785
Limiplasma pullistercoris,C03626_ADMA,0.0,,-0.5836096817228893,0.023746432591605977,True,0.5836096817228893
UBA11524 sp017397765,C02714_N-Acetylputrescine,0.0,,0.5836096817228893,0.023746432591605977,True,0.5836096817228893
UBA5905 sp900763035,C00847_4-Pyridoxate,0.0,,-0.5821612349914237,0.02397523362480916,True,0.5821612349914237
Acetatifactor sp002431915,C00055_CMP,0.0,,0.5812956222824794,0.02397523362480916,True,0.5812956222824794
Faecousia sp003525905,C00055_CMP,0.0,,0.5791610285219668,0.025054624616722698,True,0.5791610285219668
Alistipes communis,C02714_N-Acetylputrescine,0.0,,-0.5780445969125214,0.025054624616722698,True,0.5780445969125214
ER4 sp000765235,C00624_N-Acetylglutamate,0.0,,0.5775109586430341,0.025054624616722698,True,0.5775109586430341
Faecalibacterium prausnitzii,C00398_Tryptamine,-0.5763662437785539,0.011894236572086799,0.0,,True,0.5763662437785539
CAG-83 sp001916855,C00025_Glu,0.0,,0.5750714694110921,0.026937564442917714,True,0.5750714694110921
Alistipes communis,C00134_Putrescine,0.0,,-0.57263198017915,0.028006528494798788,True,0.57263198017915
UBA1417 sp003531055,C00431_5-Aminovalerate,0.0,,-0.5725557461406519,0.028006528494798788,True,0.5725557461406519
Lachnospira sp003451515,C00398_Tryptamine,-0.5717443528221047,0.011894236572086799,0.0,,True,0.5717443528221047
Faecivivens stercoravium,C00134_Putrescine,0.0,,0.5691252144082333,0.03048129077378312,True,0.5691252144082333
Lachnospira sp000436475,C00003_NAD+,0.0,,0.5688202782542405,0.03048129077378312,True,0.5688202782542405
Avimicrobium caecorum,C03264_2-Hydroxy-4-methylpentanoate,0.0,,-0.5683845395606074,0.03048129077378312,True,0.5683845395606074
Lachnospira eligens_A,C00398_Tryptamine,-0.5668484367101347,0.011894236572086799,0.0,,True,0.5668484367101347
Ruthenibacterium merdipullorum,C01606_Phthalate,0.0,,0.5663045549838003,0.032398797267602496,True,0.5663045549838003
Faecalimonas umbilicata,C00055_CMP,0.0,,-0.5649049916213997,0.033419167399376115,True,0.5649049916213997
Alistipes communis,C02656_Pimelate,0.0,,0.562569087097389,0.035962128482489454,True,0.562569087097389
Streptococcus gallolyticus_B,C00263_Homoserine,0.0,,0.5610169815576087,0.03738813437921812,True,0.5610169815576087
Acetatifactor intestinalis,C05332_Phenethylamine,-0.5414737073089172,0.019336302085491367,-0.5600640379145227,0.037879077263596676,True,0.5600640379145227
Aeriscardovia aeriphila,C00294_Inosine,0.0,,0.5590623213264723,0.03831515634303532,True,0.5590623213264723
Alistipes communis,C00624_N-Acetylglutamate,0.0,,0.558147512864494,0.03831515634303532,True,0.558147512864494
Ruminococcus_D bicirculans,C00055_CMP,0.0,,0.55792944415401,0.03831515634303532,True,0.55792944415401
UBA1417 sp003531055,C00134_Putrescine,0.0,,-0.5567753001715265,0.03926193067044949,True,0.5567753001715265
ER4 sp900317525,C05332_Phenethylamine,0.0,,-0.5557948503934973,0.03994856731228565,True,0.5557948503934973
Onthousia sp900758495,C00491_Cystine,0.0,,-0.5541557873273893,0.041842326865715054,True,0.5541557873273893
Ruminococcus_E bromii,C02656_Pimelate,0.5530193005281897,0.019336302085491367,0.0,,True,0.5530193005281897
UBA1417 sp003531055,C00055_CMP,0.0,,0.5520211935668766,0.04374842432163268,True,0.5520211935668766
Limiplasma pullistercoris,C08277_Sebacate,0.0,,0.5516676195921479,0.04374842432163268,True,0.5516676195921479
CAG-83 sp001916855,C08261_Azelate,0.0,,0.5509815132456641,0.04374842432163268,True,0.5509815132456641
CAG-83 sp001916855,"C03283_2,4-Diaminobutyrate",0.0,,0.5509538966866202,0.04374842432163268,True,0.5509538966866202
Lachnospira sp003451515,C05332_Phenethylamine,-0.5500415605048646,0.019336302085491367,0.0,,True,0.5500415605048646
CAG-83 sp001916855,C00135_His,0.0,,-0.5499142367066895,0.04473983142183741,True,0.5499142367066895
UBA1417 sp003531055,C02656_Pimelate,0.0,,0.5483895559367258,0.045827447230010615,True,0.5483895559367258
Ruthenibacterium merdipullorum,C02714_N-Acetylputrescine,0.0,,-0.5482370878597294,0.045827447230010615,True,0.5482370878597294
Alistipes putredinis,C05145_3-Aminoisobutyrate,0.0,,-0.5477034495902421,0.045827447230010615,True,0.5477034495902421
Ruminococcus_C sp000980705,C05332_Phenethylamine,0.0,,-0.5459985897425729,0.045827447230010615,True,0.5459985897425729
Ruminococcus_E bromii_B,C02656_Pimelate,0.5458033047661445,0.019336302085491367,0.0,,True,0.5458033047661445
CAG-83 sp001916855,C02656_Pimelate,0.0,,0.5454926624737946,0.045827447230010615,True,0.5454926624737946
Ruminococcus_E bromii_B,C02714_N-Acetylputrescine,0.0,,-0.5453401943967982,0.045827447230010615,True,0.5453401943967982
Acetatifactor sp003447295,C05332_Phenethylamine,0.0,,-0.5451981170823806,0.045827447230010615,True,0.5451981170823806
Acetatifactor intestinalis,C00055_CMP,0.0,,0.5449694106080399,0.045827447230010615,True,0.5449694106080399
CAG-485 sp910588245,C00245_Taurine,0.0,,0.5445016199733181,0.045827447230010615,True,0.5445016199733181
Lachnospira eligens,C00055_CMP,0.0,,0.5443214089307414,0.045827447230010615,True,0.5443214089307414
CAG-83 sp001916855,C00134_Putrescine,0.0,,-0.5441966838193253,0.045827447230010615,True,0.5441966838193253
Collinsella intestinalis,C01015_Hydroxyproline,0.0,,0.5438258782363368,0.045827447230010615,True,0.5438258782363368
Campylobacter_B sp900539505,C00642_p-Hydroxyphenylacetate,0.0,,0.5434447007791023,0.045827447230010615,True,0.5434447007791023
Lachnospira sp003537285,C00398_Tryptamine,-0.5426794179932084,0.019336302085491367,0.0,,True,0.5426794179932084
CAG-83 sp000431575,C05332_Phenethylamine,-0.5415650490274242,0.019336302085491367,0.0,,True,0.5415650490274242
CAG-83 sp000435975,C00055_CMP,0.0,,0.5412719892728661,0.04871097143493031,True,0.5412719892728661
Faecivivens stercoravium,C02714_N-Acetylputrescine,0.0,,0.5404612159329141,0.04871097143493031,True,0.5404612159329141
Prevotella sp900544495,C00003_NAD+,0.0,,0.5387078330474557,0.04871097143493031,True,0.5387078330474557
Limadaptatus sp900545885,C02679_Dodecanoate,0.0,,-0.5385553649704593,0.04871097143493031,True,0.5385553649704593
Faecousia sp003525905,C00624_N-Acetylglutamate,0.0,,0.538021726700972,0.04871097143493031,True,0.538021726700972
Acetatifactor intestinalis,"C03283_2,4-Diaminobutyrate",0.0,,0.5379557453949267,0.04871097143493031,True,0.5379557453949267
CAG-83 sp001916855,C01042_N-Acetylaspartate,0.0,,0.5378692586239756,0.04871097143493031,True,0.5378692586239756
CAG-83 sp001916855,C00431_5-Aminovalerate,0.0,,-0.5374880884314847,0.04871097143493031,True,0.5374880884314847
Ruminococcus_E sp902771755,C01008_Trimethylsulfonium,0.0,,0.5374220969547986,0.04871097143493031,True,0.5374220969547986
Alistipes shahii,C05145_3-Aminoisobutyrate,0.0,,-0.5373356203544882,0.04871097143493031,True,0.5373356203544882
ER4 sp000765235,C00135_His,0.0,,-0.536801982085001,0.04871097143493031,True,0.536801982085001
QAMH01 sp900544245,C08277_Sebacate,0.0,,-0.5366495140080045,0.04871097143493031,True,0.5366495140080045
Ruminococcus_C callidus,C00055_CMP,0.0,,0.5364691533117125,0.04871097143493031,True,0.5364691533117125
Alistipes putredinis,C00025_Glu,0.0,,0.5361921097770155,0.04871097143493031,True,0.5361921097770155
UMGS687 sp900545735,C01118_o-Succinylhomoserine,0.0,,-0.5360498581087547,0.04871097143493031,True,0.5360498581087547
Scatomorpha intestinigallinarum,"C03283_2,4-Diaminobutyrate",0.0,,0.5356686806515203,0.04871097143493031,True,0.5356686806515203
ER4 sp000765235,C00055_CMP,0.0,,0.5356305629057968,0.04871097143493031,True,0.5356305629057968
RGIG9608 sp017456885,C02678_Dodecanedioate,0.0,,-0.5355060034305318,0.04871097143493031,True,0.5355060034305318
UBA5905 sp900763035,C08261_Azelate,0.0,,-0.5346674290070517,0.04886679508624036,True,0.5346674290070517
