Genus,UniProt_acc,Protein_name,EC,Organism,Reviewed
acetatifactor,A0A2K4ZEE8,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Acetatifactor muris,unreviewed
acetatifactor,A0A9D1R520,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Candidatus Acetatifactor stercoripullorum,unreviewed
acetatifactor,A0A2K4ZBX4,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Acetatifactor muris,unreviewed
acetatifactor,A0A2K4ZFT1,Spermine/spermidine acetyltransferase (EC 2.3.1.57),2.3.1.57,Acetatifactor muris,unreviewed
acetatifactor,A0A9D1R4H8,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Candidatus Acetatifactor stercoripullorum,unreviewed
acetatifactor,A0A2K4ZFA0,Putative agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase),3.5.3.12,Acetatifactor muris,unreviewed
acetatifactor,A0A2K4ZF82,N-carbamoyl-D-amino acid hydrolase (EC 3.5.1.77),3.5.1.77,Acetatifactor muris,unreviewed
acetatifactor,A0A2K4ZF31,Alanine racemase (EC 5.1.1.1),5.1.1.1,Acetatifactor muris,unreviewed
acetatifactor,A0A9D1R2K0,Alanine racemase (EC 5.1.1.1),5.1.1.1,Candidatus Acetatifactor stercoripullorum,unreviewed
acetatifactor,A0A9D1R449,Alanine racemase (EC 5.1.1.1),5.1.1.1,Candidatus Acetatifactor stercoripullorum,unreviewed
acetatifactor,A0A2K4ZEE0,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain],4.1.1.50,Acetatifactor muris,unreviewed
acetatifactor,A0A2K4ZDD1,Spermidine synthase,,Acetatifactor muris,unreviewed
acutalibacter,A0A9D2MUQ5,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Candidatus Acutalibacter pullicola,unreviewed
acutalibacter,A0A9D2C0E1,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),2.5.1.16,Candidatus Acutalibacter pullistercoris,unreviewed
acutalibacter,A0A1Z2XTD5,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Acutalibacter muris,unreviewed
acutalibacter,A0A9D1YE52,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),7.6.2.11,Candidatus Acutalibacter pullistercoris,unreviewed
acutalibacter,A0A9D2MU19,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain],4.1.1.50,Candidatus Acutalibacter pullicola,unreviewed
acutalibacter,A0A9D2MVF2,Agmatinase (EC 3.5.3.11),3.5.3.11,Candidatus Acutalibacter pullicola,unreviewed
acutalibacter,A0A9D2BZI6,Agmatinase (EC 3.5.3.11),3.5.3.11,Candidatus Acutalibacter pullistercoris,unreviewed
acutalibacter,A0A1Z2XQV6,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Acutalibacter muris,unreviewed
acutalibacter,A0A9D1YE61,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Candidatus Acutalibacter pullistercoris,unreviewed
acutalibacter,A0A9D2RY52,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Candidatus Acutalibacter ornithocaccae,unreviewed
acutalibacter,A0A9D2RYX0,Spermidine synthase (EC 2.5.1.16),2.5.1.16,Candidatus Acutalibacter ornithocaccae,unreviewed
akkermansia,A0A1C7PEH7,Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19),4.1.1.19,Akkermansia glycaniphila,unreviewed
akkermansia,A0A2N8IUE4,Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19),4.1.1.19,Akkermansia muciniphila,unreviewed
akkermansia,A0AAE6TBC1,Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19),4.1.1.19,Akkermansia massiliensis,unreviewed
akkermansia,A0A2N8HDD8,Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19),4.1.1.19,Akkermansia muciniphila,unreviewed
akkermansia,A0A6N2USK6,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Akkermansia muciniphila,unreviewed
akkermansia,A0A1C7P8V6,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Akkermansia glycaniphila,unreviewed
akkermansia,A0A2N8HFC6,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Akkermansia muciniphila,unreviewed
akkermansia,A0ABN6QJT4,Spermidine synthase,,Akkermansia biwaensis,unreviewed
akkermansia,A0A9D2AI68,Spermidine synthase,,Candidatus Akkermansia intestinigallinarum,unreviewed
alistipes,A0A1H4AL53,Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase,,Alistipes timonensis JC136,unreviewed
alistipes,A0AA37KUF7,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain],4.1.1.50,Alistipes finegoldii,unreviewed
alistipes,A0A4Y1WSC7,Agmatinase,,Alistipes communis,unreviewed
alistipes,A0A5B3GS82,Carboxynorspermidine/carboxyspermidine decarboxylase (EC 4.1.1.96),4.1.1.96,Alistipes shahii,unreviewed
alistipes,A0A9P3ZIB9,Carboxynorspermidine/carboxyspermidine decarboxylase (EC 4.1.1.96),4.1.1.96,Alistipes onderdonkii,unreviewed
alistipes,A0A4Y1X1H2,Agmatinase,,Alistipes dispar,unreviewed
alistipes,A0A5B3H167,Agmatinase family protein,,Alistipes onderdonkii,unreviewed
alistipes,A0A1Y3QTA2,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Alistipes onderdonkii,unreviewed
alistipes,G5HB16,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Alistipes indistinctus YIT 12060,unreviewed
alistipes,A0ABR7CNE8,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),4.1.1.20,Alistipes hominis,unreviewed
